"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005576",5.96591135668565e-08,1,145,367,"extracellular region","CC"
"2","GO:0031225",0.000963422134088682,0.999715419870708,19,35,"anchored component of membrane","CC"
"3","GO:0009530",0.0212643855508755,1,3,3,"primary cell wall","CC"
"4","GO:0090406",0.0221832403749009,0.998444580583902,4,5,"pollen tube","CC"
"5","GO:0005834",0.0679859266988977,0.994049510235219,3,4,"heterotrimeric G-protein complex","CC"
"6","GO:0097268",0.0691448132304628,1,2,2,"cytoophidium","CC"
"7","GO:0031201",0.0692604203435994,0.993885643091944,3,4,"SNARE complex","CC"
"8","GO:0030665",0.075312714525665,1,2,2,"clathrin-coated vesicle membrane","CC"
"9","GO:0031464",0.077653320784853,1,2,2,"Cul4A-RING E3 ubiquitin ligase complex","CC"
"10","GO:0031966",0.0787200541795069,1,2,2,"mitochondrial membrane","CC"
"11","GO:0000932",0.081164727864907,1,2,2,"P-body","CC"
"12","GO:0030015",0.081164727864907,1,2,2,"CCR4-NOT core complex","CC"
"13","GO:0005618",0.0857087480807248,0.944264660365484,33,95,"cell wall","CC"
"14","GO:0048046",0.113685105845028,0.924071273749456,32,94,"apoplast","CC"
"15","GO:0017119",0.184937571259474,0.979314768447292,2,3,"Golgi transport complex","CC"
"16","GO:0005783",0.185045775326812,0.871597179565412,28,86,"endoplasmic reticulum","CC"
"17","GO:0005901",0.189673334981187,0.978410747419297,2,3,"caveola","CC"
"18","GO:0031982",0.193412607240459,0.977684339661859,2,3,"vesicle","CC"
"19","GO:0005886",0.221088117753379,0.813320189069332,116,396,"plasma membrane","CC"
"20","GO:0061927",0.222277705921479,1,1,1,"TOC-TIC supercomplex I","CC"
"21","GO:0009505",0.2250227345516,0.845224327671275,23,71,"plant-type cell wall","CC"
"22","GO:0005615",0.270174116872882,0.835439944896701,12,35,"extracellular space","CC"
"23","GO:0045282",0.275247976383592,1,1,1,"plasma membrane succinate dehydrogenase complex","CC"
"24","GO:0005950",0.275392272437762,1,1,1,"anthranilate synthase complex","CC"
"25","GO:0005848",0.275588740001691,1,1,1,"mRNA cleavage stimulating factor complex","CC"
"26","GO:0000228",0.275614073443993,1,1,1,"nuclear chromosome","CC"
"27","GO:0090694",0.275614073443993,1,1,1,"Scc2-Scc4 cohesin loading complex","CC"
"28","GO:0009526",0.275669984768969,1,1,1,"plastid envelope","CC"
"29","GO:0034663",0.275705822606006,1,1,1,"endoplasmic reticulum chaperone complex","CC"
"30","GO:0000145",0.277008289099134,1,1,1,"exocyst","CC"
"31","GO:0045335",0.277008289099134,1,1,1,"phagocytic vesicle","CC"
"32","GO:0008305",0.278338235585233,1,1,1,"integrin complex","CC"
"33","GO:0009504",0.278455048909328,1,1,1,"cell plate","CC"
"34","GO:0005750",0.28263906941885,1,1,1,"mitochondrial respiratory chain complex III","CC"
"35","GO:0005689",0.2867566316627,1,1,1,"U12-type spliceosomal complex","CC"
"36","GO:0005887",0.327465755065421,0.8207628904223,7,21,"integral component of plasma membrane","CC"
"37","GO:0005768",0.341073211429463,0.83552805765806,5,14,"endosome","CC"
"38","GO:0000139",0.367959447209108,0.800905766263723,6,18,"Golgi membrane","CC"
"39","GO:0005789",0.379607427180923,0.756113848502845,10,32,"endoplasmic reticulum membrane","CC"
"40","GO:0005788",0.415643247992239,0.870981882737237,2,5,"endoplasmic reticulum lumen","CC"
"41","GO:0031902",0.42085181181141,0.86803356371601,2,5,"late endosome membrane","CC"
"42","GO:0012505",0.438877354809057,0.779936063875032,4,12,"endomembrane system","CC"
"43","GO:0005802",0.452956434595031,0.746186444195935,5,16,"trans-Golgi network","CC"
"44","GO:0005622",0.454588178701818,0.729761727934668,6,19,"intracellular","CC"
"45","GO:0000785",0.455836173862658,0.931290017367808,1,2,"chromatin","CC"
"46","GO:0046658",0.455895761763796,0.728652023380175,6,19,"anchored component of plasma membrane","CC"
"47","GO:0031965",0.476071586922254,0.923843378673791,1,2,"nuclear membrane","CC"
"48","GO:0005749",0.476194936799347,0.923796362375265,1,2,"mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)","CC"
"49","GO:0036513",0.476676291304448,0.923612696368524,1,2,"Derlin-1 retrotranslocation complex","CC"
"50","GO:0016592",0.477471925781377,0.923308442673973,1,2,"mediator complex","CC"
"51","GO:0031012",0.486133710030494,0.919941540604445,1,2,"extracellular matrix","CC"
"52","GO:0005643",0.487362013684587,0.919455908241573,1,2,"nuclear pore","CC"
"53","GO:0005737",0.492919253830727,0.551795726041436,138,495,"cytoplasm","CC"
"54","GO:0016021",0.509762003258871,0.533558271133437,151,546,"integral component of membrane","CC"
"55","GO:0009707",0.593260993813049,0.83364194521699,1,3,"chloroplast outer membrane","CC"
"56","GO:0005871",0.606105365838896,0.824483220024011,1,3,"kinesin complex","CC"
"57","GO:0044611",0.614686430445297,0.818153217998035,1,3,"nuclear pore inner ring","CC"
"58","GO:0045273",0.620670498707028,0.813635636016681,1,3,"respiratory chain complex II","CC"
"59","GO:0010008",0.625740942972151,0.809739812528461,1,3,"endosome membrane","CC"
"60","GO:0000790",0.626813998523597,0.808907232714748,1,3,"nuclear chromatin","CC"
"61","GO:0005743",0.62686040466033,0.635534668412431,3,11,"mitochondrial inner membrane","CC"
"62","GO:0019005",0.62755134242815,0.808333474935042,1,3,"SCF ubiquitin ligase complex","CC"
"63","GO:0005575",0.639975095316269,0.482184098720853,14,52,"cellular_component","CC"
"64","GO:0005794",0.695392766190369,0.39290549289277,24,93,"Golgi apparatus","CC"
"65","GO:0005874",0.714819765668976,0.705797319365711,1,4,"microtubule","CC"
"66","GO:0080008",0.721647802586686,0.698170847325763,1,4,"Cul4-RING E3 ubiquitin ligase complex","CC"
"67","GO:0005634",0.729486021358758,0.303980431479246,204,755,"nucleus","CC"
"68","GO:0030176",0.732933925660351,0.685182997553691,1,4,"integral component of endoplasmic reticulum membrane","CC"
"69","GO:0042651",0.860009270822939,0.46616360509337,1,6,"thylakoid membrane","CC"
"70","GO:0005777",0.870931087754442,0.273518205562631,4,21,"peroxisome","CC"
"71","GO:0009506",0.87846346706955,0.166931586189049,33,140,"plasmodesma","CC"
"72","GO:0016020",0.894478581189421,0.134431499954845,69,281,"membrane","CC"
"73","GO:0022626",0.927650002574397,0.297713633159358,1,8,"cytosolic ribosome","CC"
"74","GO:0009536",0.928510411991276,0.17006397988774,4,24,"plastid","CC"
"75","GO:0000325",0.951838042065091,0.216791845437459,1,11,"plant-type vacuole","CC"
"76","GO:0043231",0.973751847804647,0.0634092534639113,6,38,"intracellular membrane-bounded organelle","CC"
"77","GO:0005774",0.978139610463855,0.0443507418623087,11,64,"vacuolar membrane","CC"
"78","GO:0005773",0.981603624857346,0.0342582666983075,16,87,"vacuole","CC"
"79","GO:0009705",0.984071251131062,0.0541737094572346,3,25,"plant-type vacuole membrane","CC"
"80","GO:0031969",0.9890509627945,0.0694946984209347,1,14,"chloroplast membrane","CC"
"81","GO:0005739",0.991181726420779,0.0130353082305263,62,280,"mitochondrion","CC"
"82","GO:0005730",0.994763107932778,0.0379340379798073,1,16,"nucleolus","CC"
"83","GO:0005829",0.999677453818956,0.000585004344239734,44,235,"cytosol","CC"
"84","GO:0009570",0.999990524130417,3.73833639382978e-05,8,84,"chloroplast stroma","CC"
"85","GO:0009507",0.99999610157391,6.5896459573697e-06,113,553,"chloroplast","CC"
"86","GO:0009941",0.999996831386395,1.54084171616163e-05,6,76,"chloroplast envelope","CC"
"87","GO:0009534",0.999999945387839,1.15496167742354e-06,1,50,"chloroplast thylakoid","CC"
"88","GO:0009535",0.99999997293583,2.5958614568244e-07,3,70,"chloroplast thylakoid membrane","CC"
"89","GO:0005682",0.99999999999588,0.858998705794057,0,1,"U5 snRNP","CC"
"90","GO:0071013",0.99999999999588,0.858998705794057,0,1,"catalytic step 2 spliceosome","CC"
"91","GO:0009783",0.999999999996592,0.515702066156995,0,2,"photosystem II antenna complex","CC"
"92","GO:0005851",0.999999999997276,0.524488399833131,0,2,"eukaryotic translation initiation factor 2B complex","CC"
"93","GO:0019897",0.999999999997955,0.508466638150846,0,2,"extrinsic component of plasma membrane","CC"
"94","GO:0010007",0.999999999998152,0.530897090313555,0,2,"magnesium chelatase complex","CC"
"95","GO:0009514",0.999999999998171,0.525090997686648,0,2,"glyoxysome","CC"
"96","GO:0010005",0.999999999998196,0.726552592143466,0,1,"cortical microtubule, transverse to long axis","CC"
"97","GO:0031226",0.999999999998248,0.726885174615249,0,1,"intrinsic component of plasma membrane","CC"
"98","GO:0000323",0.999999999998281,0.723877853515817,0,1,"lytic vacuole","CC"
"99","GO:0022625",0.999999999998295,0.509919849733908,0,2,"cytosolic large ribosomal subunit","CC"
"100","GO:0000159",0.999999999998428,0.321047053052933,0,4,"protein phosphatase type 2A complex","CC"
