"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0019761",0.000113656452323334,0.999986163350755,9,18,"glucosinolate biosynthetic process","BP"
"2","GO:0000162",0.000450829047299475,0.999979940287085,5,7,"tryptophan biosynthetic process","BP"
"3","GO:0006952",0.000913376577704172,0.999597211238036,29,132,"defense response","BP"
"4","GO:0002229",0.00562151387644414,0.998878395808073,7,19,"defense response to oomycetes","BP"
"5","GO:0042742",0.00595635142035562,0.997451120553735,19,84,"defense response to bacterium","BP"
"6","GO:0006541",0.00657905397503919,0.999780849784275,3,4,"glutamine metabolic process","BP"
"7","GO:0010150",0.00660826619813038,0.998426406593624,8,24,"leaf senescence","BP"
"8","GO:0040008",0.00680888195943931,0.99977021356091,3,4,"regulation of growth","BP"
"9","GO:0006468",0.00958359316010426,0.995464604505661,21,106,"protein phosphorylation","BP"
"10","GO:0007165",0.00966736480800728,0.996774616556443,11,42,"signal transduction","BP"
"11","GO:0052544",0.0112887610366652,0.998773644431091,4,8,"defense response by callose deposition in cell wall","BP"
"12","GO:0009098",0.0155429621169686,0.998956347590915,3,5,"leucine biosynthetic process","BP"
"13","GO:0016310",0.0173828303947414,0.992923968756027,13,60,"phosphorylation","BP"
"14","GO:0030968",0.0397300687040105,0.998281586517455,2,3,"endoplasmic reticulum unfolded protein response","BP"
"15","GO:0010439",0.0449606192928887,0.997913026874335,2,3,"regulation of glucosinolate biosynthetic process","BP"
"16","GO:0010628",0.0451833669189203,0.997896730595215,2,3,"positive regulation of gene expression","BP"
"17","GO:0009061",0.0453162469531429,0.997886985973371,2,3,"anaerobic respiration","BP"
"18","GO:0010120",0.0467644026393904,0.993712825049898,3,7,"camalexin biosynthetic process","BP"
"19","GO:0010167",0.051209216355839,0.99284987658829,3,7,"response to nitrate","BP"
"20","GO:0009625",0.0553027540219577,0.988079925642963,4,12,"response to insect","BP"
"21","GO:0046777",0.0611843672058626,0.98606604907074,4,13,"protein autophosphorylation","BP"
"22","GO:0009617",0.064833429046828,0.972596813593654,9,42,"response to bacterium","BP"
"23","GO:0009684",0.066115863232739,0.989109088530999,3,8,"indoleacetic acid biosynthetic process","BP"
"24","GO:0010043",0.0668431386045488,0.980761841953727,5,18,"response to zinc ion","BP"
"25","GO:0010112",0.0714435357983828,0.993976891076112,2,4,"regulation of systemic acquired resistance","BP"
"26","GO:0008150",0.0717362201205307,0.948483463621215,53,338,"biological_process","BP"
"27","GO:0046294",0.0756765032399332,0.993400539322617,2,4,"formaldehyde catabolic process","BP"
"28","GO:0070814",0.0791364153136256,0.992914199103572,2,4,"hydrogen sulfide biosynthetic process","BP"
"29","GO:0008643",0.0798201807509349,0.992816477316284,2,4,"carbohydrate transport","BP"
"30","GO:0010311",0.0821142178871379,0.984551929819203,3,9,"lateral root formation","BP"
"31","GO:0009698",0.0826613034241993,0.984404247549473,3,9,"phenylpropanoid metabolic process","BP"
"32","GO:0009067",0.0896305313122386,1,1,1,"aspartate family amino acid biosynthetic process","BP"
"33","GO:0009088",0.0896305313122386,1,1,1,"threonine biosynthetic process","BP"
"34","GO:0009089",0.0896305313122386,1,1,1,"lysine biosynthetic process via diaminopimelate","BP"
"35","GO:0009090",0.0896305313122386,1,1,1,"homoserine biosynthetic process","BP"
"36","GO:0009911",0.0914175500389599,1,1,1,"positive regulation of flower development","BP"
"37","GO:0031048",0.0914175500389599,1,1,1,"chromatin silencing by small RNA","BP"
"38","GO:0006071",0.104744776829971,1,1,1,"glycerol metabolic process","BP"
"39","GO:0019563",0.104744776829971,1,1,1,"glycerol catabolic process","BP"
"40","GO:0010098",0.10582510163325,1,1,1,"suspensor development","BP"
"41","GO:0010229",0.10582510163325,1,1,1,"inflorescence development","BP"
"42","GO:0016132",0.109676511416713,0.986308522315455,2,5,"brassinosteroid biosynthetic process","BP"
"43","GO:0070936",0.110042215912601,1,1,1,"protein K48-linked ubiquitination","BP"
"44","GO:0033506",0.111516189559102,1,1,1,"glucosinolate biosynthetic process from homomethionine","BP"
"45","GO:0043090",0.111579824241452,1,1,1,"amino acid import","BP"
"46","GO:0052546",0.113577429685263,1,1,1,"cell wall pectin metabolic process","BP"
"47","GO:0060773",0.113577429685263,1,1,1,"flower phyllotactic patterning","BP"
"48","GO:0031540",0.113631846294965,1,1,1,"regulation of anthocyanin biosynthetic process","BP"
"49","GO:0090548",0.113631846294965,1,1,1,"response to nitrate starvation","BP"
"50","GO:1901333",0.113631846294965,1,1,1,"positive regulation of lateral root development","BP"
"51","GO:1902025",0.113631846294965,1,1,1,"nitrate import","BP"
"52","GO:2000023",0.113631846294965,1,1,1,"regulation of lateral root development","BP"
"53","GO:0032091",0.115000221390127,1,1,1,"negative regulation of protein binding","BP"
"54","GO:0045010",0.115923350411214,1,1,1,"actin nucleation","BP"
"55","GO:0051016",0.115923350411214,1,1,1,"barbed-end actin filament capping","BP"
"56","GO:0099131",0.117170788783381,1,1,1,"ATP hydrolysis coupled ion transmembrane transport","BP"
"57","GO:0099132",0.117170788783381,1,1,1,"ATP hydrolysis coupled cation transmembrane transport","BP"
"58","GO:0009823",0.117179822055269,1,1,1,"cytokinin catabolic process","BP"
"59","GO:0048443",0.118714238290747,1,1,1,"stamen development","BP"
"60","GO:0006435",0.119489560522014,1,1,1,"threonyl-tRNA aminoacylation","BP"
"61","GO:0000381",0.120381355231359,1,1,1,"regulation of alternative mRNA splicing, via spliceosome","BP"
"62","GO:0045292",0.120381355231359,1,1,1,"mRNA cis splicing, via spliceosome","BP"
"63","GO:0010045",0.121101446810868,1,1,1,"response to nickel cation","BP"
"64","GO:0006644",0.121982911255093,1,1,1,"phospholipid metabolic process","BP"
"65","GO:0019374",0.121982911255093,1,1,1,"galactolipid metabolic process","BP"
"66","GO:0045962",0.122009883869541,1,1,1,"positive regulation of development, heterochronic","BP"
"67","GO:1903508",0.122009883869541,1,1,1,"positive regulation of nucleic acid-templated transcription","BP"
"68","GO:2000306",0.122009883869541,1,1,1,"positive regulation of photomorphogenesis","BP"
"69","GO:0006325",0.122219592326187,0.983702479810717,2,5,"chromatin organization","BP"
"70","GO:0006892",0.122791812628682,1,1,1,"post-Golgi vesicle-mediated transport","BP"
"71","GO:0002238",0.122941223252493,0.983546946705168,2,5,"response to molecule of fungal origin","BP"
"72","GO:0009682",0.124085204148914,0.971154392398676,3,10,"induced systemic resistance","BP"
"73","GO:0006744",0.124470756215904,1,1,1,"ubiquinone biosynthetic process","BP"
"74","GO:0010262",0.124704006378614,1,1,1,"somatic embryogenesis","BP"
"75","GO:0006637",0.12595023311071,1,1,1,"acyl-CoA metabolic process","BP"
"76","GO:0009831",0.126158594766734,0.98284614575274,2,5,"plant-type cell wall modification involved in multidimensional cell growth","BP"
"77","GO:0019722",0.127004525765644,0.97016205016853,3,10,"calcium-mediated signaling","BP"
"78","GO:0018171",0.127105656462411,1,1,1,"peptidyl-cysteine oxidation","BP"
"79","GO:0070483",0.127105656462411,1,1,1,"detection of hypoxia","BP"
"80","GO:0006983",0.127284693492683,1,1,1,"ER overload response","BP"
"81","GO:0043066",0.127284693492683,1,1,1,"negative regulation of apoptotic process","BP"
"82","GO:0048232",0.127884275818199,1,1,1,"male gamete generation","BP"
"83","GO:1901430",0.127884275818199,1,1,1,"positive regulation of syringal lignin biosynthetic process","BP"
"84","GO:0015780",0.127991632567788,1,1,1,"nucleotide-sugar transmembrane transport","BP"
"85","GO:0072334",0.127991632567788,1,1,1,"UDP-galactose transmembrane transport","BP"
"86","GO:0070828",0.128018470279547,1,1,1,"heterochromatin organization","BP"
"87","GO:0009700",0.129064681642638,1,1,1,"indole phytoalexin biosynthetic process","BP"
"88","GO:0043067",0.129788456059212,1,1,1,"regulation of programmed cell death","BP"
"89","GO:0043161",0.129788456059212,1,1,1,"proteasome-mediated ubiquitin-dependent protein catabolic process","BP"
"90","GO:0015794",0.130011755273063,1,1,1,"glycerol-3-phosphate transmembrane transport","BP"
"91","GO:0010204",0.130026296748934,0.981987825582288,2,5,"defense response signaling pathway, resistance gene-independent","BP"
"92","GO:0010116",0.130190364503415,1,1,1,"positive regulation of abscisic acid biosynthetic process","BP"
"93","GO:0009117",0.130734955937369,1,1,1,"nucleotide metabolic process","BP"
"94","GO:0042659",0.130806359022514,1,1,1,"regulation of cell fate specification","BP"
"95","GO:1900067",0.131395267082479,1,1,1,"regulation of cellular response to alkaline pH","BP"
