"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath00966",0.000268332592472486,0.999970610444155,8,15,"Glucosinolate biosynthesis","KEGG"
"2","path:ath01210",0.00144888266646031,0.999763509691859,8,19,"2-Oxocarboxylic acid metabolism","KEGG"
"3","path:ath00290",0.0563196029987552,0.997068053299346,2,3,"Valine, leucine and isoleucine biosynthesis","KEGG"
"4","path:ath00620",0.0624941328110926,0.985987326239188,4,13,"Pyruvate metabolism","KEGG"
"5","path:ath00400",0.0753486809774792,0.978084529710788,5,18,"Phenylalanine, tyrosine and tryptophan biosynthesis","KEGG"
"6","path:ath04626",0.0755099759916503,0.972306034943443,7,29,"Plant-pathogen interaction","KEGG"
"7","path:ath00261",0.0811559869351388,0.992737472611393,2,4,"Monobactam biosynthesis","KEGG"
"8","path:ath00300",0.0987358031313487,1,1,1,"Lysine biosynthesis","KEGG"
"9","path:ath00640",0.0999672793256424,0.988377507805864,2,5,"Propanoate metabolism","KEGG"
"10","path:ath04016",0.119577266103916,0.953968580635473,6,27,"MAPK signaling pathway - plant","KEGG"
"11","path:ath00260",0.125776825984519,0.971107798262204,3,10,"Glycine, serine and threonine metabolism","KEGG"
"12","path:ath02010",0.132800308478145,0.980209040893725,2,6,"ABC transporters","KEGG"
"13","path:ath00945",0.14689377424067,0.978362131989868,2,5,"Stilbenoid, diarylheptanoid and gingerol biosynthesis","KEGG"
"14","path:ath00450",0.176661953919907,0.968502324129943,2,6,"Selenocompound metabolism","KEGG"
"15","path:ath01230",0.191177202760675,0.899393949640399,9,50,"Biosynthesis of amino acids","KEGG"
"16","path:ath04712",0.226437211046704,0.985687432467176,1,2,"Circadian rhythm - plant","KEGG"
"17","path:ath00905",0.240615115851401,0.983696785410671,1,2,"Brassinosteroid biosynthesis","KEGG"
"18","path:ath00380",0.24914622882506,0.899574572764789,4,19,"Tryptophan metabolism","KEGG"
"19","path:ath00970",0.251231400214215,0.982107994794691,1,2,"Aminoacyl-tRNA biosynthesis","KEGG"
"20","path:ath00230",0.253964174652307,0.913843718164039,3,13,"Purine metabolism","KEGG"
"21","path:ath00941",0.258800612251694,0.937821670178719,2,7,"Flavonoid biosynthesis","KEGG"
"22","path:ath03060",0.264470599481685,0.980005781375543,1,2,"Protein export","KEGG"
"23","path:ath00071",0.272152707871135,0.930212806524242,2,8,"Fatty acid degradation","KEGG"
"24","path:ath01110",0.304487030287124,0.77888501942417,30,207,"Biosynthesis of secondary metabolites","KEGG"
"25","path:ath00520",0.307271384561229,0.914248096247946,2,8,"Amino sugar and nucleotide sugar metabolism","KEGG"
"26","path:ath00010",0.309352444505533,0.881377980000531,3,15,"Glycolysis / Gluconeogenesis","KEGG"
"27","path:ath00908",0.347378435493548,0.952544329629881,1,3,"Zeatin biosynthesis","KEGG"
"28","path:ath00073",0.350356440371087,0.95163926351705,1,3,"Cutin, suberine and wax biosynthesis","KEGG"
"29","path:ath00360",0.352709399436892,0.853661926887306,3,16,"Phenylalanine metabolism","KEGG"
"30","path:ath03010",0.382721234295165,0.941116642199271,1,3,"Ribosome","KEGG"
"31","path:ath00130",0.401803254396654,0.858343099730404,2,10,"Ubiquinone and other terpenoid-quinone biosynthesis","KEGG"
"32","path:ath00561",0.423451828912219,0.917985964099139,1,4,"Glycerolipid metabolism","KEGG"
"33","path:ath04120",0.42729763358645,0.916290368653378,1,4,"Ubiquitin mediated proteolysis","KEGG"
"34","path:ath00350",0.436413320804651,0.834051322631776,2,11,"Tyrosine metabolism","KEGG"
"35","path:ath04145",0.462157565634241,0.899887633633527,1,4,"Phagosome","KEGG"
"36","path:ath04075",0.488520442783808,0.703475737019911,5,33,"Plant hormone signal transduction","KEGG"
"37","path:ath00220",0.496532958567549,0.875303024793682,1,5,"Arginine biosynthesis","KEGG"
"38","path:ath03040",0.534344675445769,0.847022920610364,1,6,"Spliceosome","KEGG"
"39","path:ath00430",0.568165317175461,0.823069168452888,1,6,"Taurine and hypotaurine metabolism","KEGG"
"40","path:ath00910",0.573150156035873,0.720950350443597,2,14,"Nitrogen metabolism","KEGG"
"41","path:ath00051",0.617796276158593,0.778670062166122,1,7,"Fructose and mannose metabolism","KEGG"
"42","path:ath00280",0.621737729494935,0.775193900141222,1,7,"Valine, leucine and isoleucine degradation","KEGG"
"43","path:ath00920",0.629492894255559,0.664898264217651,2,15,"Sulfur metabolism","KEGG"
"44","path:ath00592",0.64391494985111,0.754866564883799,1,7,"alpha-Linolenic acid metabolism","KEGG"
"45","path:ath00630",0.665665786624246,0.729698823716185,1,8,"Glyoxylate and dicarboxylate metabolism","KEGG"
"46","path:ath00940",0.690162384853743,0.459270321880057,8,65,"Phenylpropanoid biosynthesis","KEGG"
"47","path:ath00270",0.733195160628722,0.462707088998474,4,36,"Cysteine and methionine metabolism","KEGG"
"48","path:ath00480",0.741074721587144,0.453655051633702,4,34,"Glutathione metabolism","KEGG"
"49","path:ath00410",0.744649063060746,0.632262857521569,1,10,"beta-Alanine metabolism","KEGG"
"50","path:ath00250",0.747280920985848,0.628800754139865,1,10,"Alanine, aspartate and glutamate metabolism","KEGG"
"51","path:ath00030",0.758993096750903,0.61304413542435,1,10,"Pentose phosphate pathway","KEGG"
"52","path:ath00040",0.772986012854751,0.486660498224976,2,20,"Pentose and glucuronate interconversions","KEGG"
"53","path:ath04141",0.815740313461032,0.422674286043731,2,21,"Protein processing in endoplasmic reticulum","KEGG"
"54","path:ath00190",0.819382503690602,0.516723843149651,1,12,"Oxidative phosphorylation","KEGG"
"55","path:ath01100",0.84631825164797,0.225205630790453,47,376,"Metabolic pathways","KEGG"
"56","path:ath01200",0.923062212261148,0.192685827510048,3,41,"Carbon metabolism","KEGG"
"57","path:ath00460",0.93008848736964,0.273333348924096,1,19,"Cyanoamino acid metabolism","KEGG"
"58","path:ath00500",0.985478041325831,0.0824163183741511,1,31,"Starch and sucrose metabolism","KEGG"
"59","path:ath00020",1,0.512638433402998,0,5,"Citrate cycle (TCA cycle)","KEGG"
"60","path:ath00052",1,0.573198500645813,0,4,"Galactose metabolism","KEGG"
"61","path:ath00053",1,0.151759427336065,0,13,"Ascorbate and aldarate metabolism","KEGG"
"62","path:ath00061",1,0.643101048413065,0,4,"Fatty acid biosynthesis","KEGG"
"63","path:ath00062",1,0.636047244111715,0,3,"Fatty acid elongation","KEGG"
"64","path:ath00100",1,0.519460558505618,0,5,"Steroid biosynthesis","KEGG"
"65","path:ath00195",1,0.0921785336144435,0,15,"Photosynthesis","KEGG"
"66","path:ath00196",1,0.240249185508628,0,9,"Photosynthesis - antenna proteins","KEGG"
"67","path:ath00240",1,0.437710268029769,0,6,"Pyrimidine metabolism","KEGG"
"68","path:ath00310",1,0.765453947381155,0,2,"Lysine degradation","KEGG"
"69","path:ath00330",1,0.294952335380477,0,9,"Arginine and proline metabolism","KEGG"
"70","path:ath00340",1,0.765453947381155,0,2,"Histidine metabolism","KEGG"
"71","path:ath00510",1,0.791265740763472,0,2,"N-Glycan biosynthesis","KEGG"
"72","path:ath00511",1,0.905164731078808,0,1,"Other glycan degradation","KEGG"
"73","path:ath00514",1,0.863486929272251,0,1,"Other types of O-glycan biosynthesis","KEGG"
"74","path:ath00562",1,0.73595401890364,0,2,"Inositol phosphate metabolism","KEGG"
"75","path:ath00563",1,0.865508206773075,0,1,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","KEGG"
"76","path:ath00564",1,0.58313862737966,0,4,"Glycerophospholipid metabolism","KEGG"
"77","path:ath00565",1,0.882581426060219,0,1,"Ether lipid metabolism","KEGG"
"78","path:ath00590",1,0.557279479537683,0,4,"Arachidonic acid metabolism","KEGG"
"79","path:ath00591",1,0.781907052623345,0,2,"Linoleic acid metabolism","KEGG"
