"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0004322",0.000241374453757051,1,4,4,"ferroxidase activity","MF"
"2","GO:0016413",0.0011665894757123,0.999967304543801,4,5,"O-acetyltransferase activity","MF"
"3","GO:0005345",0.00183703455006171,1,3,3,"purine nucleobase transmembrane transporter activity","MF"
"4","GO:0008198",0.00301555910827426,0.999833897193946,4,6,"ferrous iron binding","MF"
"5","GO:0008199",0.00301555910827426,0.999833897193946,4,6,"ferric iron binding","MF"
"6","GO:0035673",0.0128349710597237,0.997908692459323,5,12,"oligopeptide transmembrane transporter activity","MF"
"7","GO:1990538",0.0161053915533442,1,2,2,"xylan O-acetyltransferase activity","MF"
"8","GO:0008453",0.0162185307948097,1,2,2,"alanine-glyoxylate transaminase activity","MF"
"9","GO:0016985",0.0163104680578658,1,2,2,"mannan endo-1,4-beta-mannosidase activity","MF"
"10","GO:0009975",0.0165745865267846,1,2,2,"cyclase activity","MF"
"11","GO:0010333",0.0165745865267846,1,2,2,"terpene synthase activity","MF"
"12","GO:0051015",0.017792424525806,1,2,2,"actin filament binding","MF"
"13","GO:0030246",0.0211944655753704,0.991958915775754,11,45,"carbohydrate binding","MF"
"14","GO:0102336",0.0429389004301131,0.998058626490758,2,3,"3-oxo-arachidoyl-CoA synthase activity","MF"
"15","GO:0102337",0.0429389004301131,0.998058626490758,2,3,"3-oxo-cerotoyl-CoA synthase activity","MF"
"16","GO:0102338",0.0429389004301131,0.998058626490758,2,3,"3-oxo-lignoceronyl-CoA synthase activity","MF"
"17","GO:0102756",0.0429389004301131,0.998058626490758,2,3,"very-long-chain 3-ketoacyl-CoA synthase activity","MF"
"18","GO:0000048",0.0450485634764233,0.997906510602278,2,3,"peptidyltransferase activity","MF"
"19","GO:0036374",0.0450485634764233,0.997906510602278,2,3,"glutathione hydrolase activity","MF"
"20","GO:0102953",0.0450485634764233,0.997906510602278,2,3,"hypoglycin A gamma-glutamyl transpeptidase activity","MF"
"21","GO:0103068",0.0450485634764233,0.997906510602278,2,3,"leukotriene C4 gamma-glutamyl transferase activity","MF"
"22","GO:0004553",0.0458585340603733,0.983329157472781,8,32,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF"
"23","GO:0008810",0.046902325363418,0.997769252859928,2,3,"cellulase activity","MF"
"24","GO:0016298",0.0684740833719934,0.988550300431311,3,8,"lipase activity","MF"
"25","GO:0003735",0.074139622228199,0.993611921883188,2,4,"structural constituent of ribosome","MF"
"26","GO:0008083",0.0765537990687116,0.993278238684526,2,4,"growth factor activity","MF"
"27","GO:0016756",0.0825075451497855,0.992426990074752,2,4,"glutathione gamma-glutamylcysteinyltransferase activity","MF"
"28","GO:0016746",0.118112892402636,0.984575430950052,2,5,"transferase activity, transferring acyl groups","MF"
"29","GO:0016667",0.119669242763071,1,1,1,"oxidoreductase activity, acting on a sulfur group of donors","MF"
"30","GO:0032542",0.119669242763071,1,1,1,"sulfiredoxin activity","MF"
"31","GO:0004860",0.120031964015254,1,1,1,"protein kinase inhibitor activity","MF"
"32","GO:0004126",0.120788313433762,1,1,1,"cytidine deaminase activity","MF"
"33","GO:0030295",0.120833049379634,1,1,1,"protein kinase activator activity","MF"
"34","GO:0043021",0.120833049379634,1,1,1,"ribonucleoprotein complex binding","MF"
"35","GO:0008374",0.121311596116502,1,1,1,"O-acyltransferase activity","MF"
"36","GO:0004359",0.121485961826852,1,1,1,"glutaminase activity","MF"
