"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:PWY-5097",2.52528038956808e-07,0.999999979750154,14,20,"L-lysine biosynthesis VI","BioCyc"
"2","ARA:PWY-724",3.27206199645391e-07,0.999999937285857,23,46,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II","BioCyc"
"3","ARA:PWY-2541",8.62147070902504e-06,0.999998009886836,21,46,"plant sterol biosynthesis","BioCyc"
"4","ARA:HOMOSERSYN-PWY",9.87517939194851e-06,0.999999449441111,9,12,"L-homoserine biosynthesis","BioCyc"
"5","ARA:PWY-3001",6.19104712814464e-05,0.999984152038911,19,45,"superpathway of L-isoleucine biosynthesis I","BioCyc"
"6","ARA:THRESYN-PWY",8.91112859943565e-05,0.999981291311441,15,32,"superpathway of L-threonine biosynthesis","BioCyc"
"7","ARA:PWY-2301",0.000214796686906438,0.999993415937309,6,7,"myo-inositol biosynthesis","BioCyc"
"8","ARA:HISTSYN-PWY",0.000216344198855063,0.999965765329301,11,20,"L-histidine biosynthesis","BioCyc"
"9","ARA:PWY-5936",0.000326467737624081,0.999931389350135,13,27,"xyloglucan biosynthesis","BioCyc"
"10","ARA:BRANCHED-CHAIN-AA-SYN-PWY",0.00045661894817859,0.999868495966518,17,43,"superpathway of branched chain amino acid biosynthesis","BioCyc"
"11","ARA:UDPNACETYLGALSYN-PWY",0.000515512298318102,0.999970695451821,6,8,"UDP-N-acetyl-D-glucosamine biosynthesis II","BioCyc"
"12","ARA:PWY-1186",0.000594935977120541,0.999965162296164,6,8,"L-homomethionine biosynthesis","BioCyc"
"13","ARA:PWY-3801",0.000713146281253857,0.999790816526984,16,43,"sucrose degradation II (sucrose synthase)","BioCyc"
"14","ARA:PWYQT-4450",0.000893141187657159,0.99990845794772,7,11,"aliphatic glucosinolate biosynthesis, side chain elongation cycle","BioCyc"
"15","ARA:PWY-7388",0.000953668733374484,0.999760211964346,13,31,"octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)","BioCyc"
"16","ARA:PWY-5122",0.0013785437448007,0.999763236011646,9,17,"geranyl diphosphate biosynthesis","BioCyc"
