"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0006412",1.04661370769384e-19,1,98,490,"translation","BP"
"2","GO:0009451",3.97690691971226e-19,1,65,225,"RNA modification","BP"
"3","GO:0010498",1.51677849267993e-07,0.999999980745751,15,37,"proteasomal protein catabolic process","BP"
"4","GO:0009793",2.11270757672617e-07,1,80,521,"embryo development ending in seed dormancy","BP"
"5","GO:0010499",3.10963052383767e-07,0.999999961755815,14,34,"proteasomal ubiquitin-independent protein catabolic process","BP"
"6","GO:0006364",1.44705234820049e-06,0.999999566324971,28,122,"rRNA processing","BP"
"7","GO:0042254",2.44094601532327e-06,0.999999216879785,29,148,"ribosome biogenesis","BP"
"8","GO:0034475",1.32944851809903e-05,0.999998450725378,10,24,"U4 snRNA 3'-end processing","BP"
"9","GO:0034427",2.07965828710111e-05,0.999997400339774,10,25,"nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'","BP"
"10","GO:0000462",2.32446517540884e-05,0.99999611693204,12,37,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"11","GO:0006397",3.92639515140803e-05,0.999981817166811,44,270,"mRNA processing","BP"
"12","GO:0006418",4.00026727007434e-05,0.999993702917873,11,31,"tRNA aminoacylation for protein translation","BP"
"13","GO:0071038",6.7636102433357e-05,0.999994573064733,7,14,"nuclear polyadenylation-dependent tRNA catabolic process","BP"
"14","GO:0008380",8.0798190553324e-05,0.99996598067646,33,187,"RNA splicing","BP"
"15","GO:0000467",0.000118381348097211,0.999989145575352,7,15,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"16","GO:0032981",0.000158176283035049,0.99997261512305,10,32,"mitochondrial respiratory chain complex I assembly","BP"
"17","GO:0071035",0.000204962025239315,0.999978707245609,7,16,"nuclear polyadenylation-dependent rRNA catabolic process","BP"
"18","GO:0071028",0.000210864144976768,0.999972235961387,8,21,"nuclear mRNA surveillance","BP"
"19","GO:0043161",0.000229438820303636,0.999914966635979,23,121,"proteasome-mediated ubiquitin-dependent protein catabolic process","BP"
"20","GO:0016554",0.000282992195318831,0.999960416655384,8,22,"cytidine to uridine editing","BP"
"21","GO:0016485",0.000382029095015012,0.999944016478143,8,22,"protein processing","BP"
"22","GO:0007021",0.000401589301478064,0.999975920273348,5,9,"tubulin complex assembly","BP"
"23","GO:0010239",0.000469246297386443,0.99997084838817,5,9,"chloroplast mRNA processing","BP"
"24","GO:1901259",0.000604759953074016,0.999919050463269,7,19,"chloroplast rRNA processing","BP"
"25","GO:0000338",0.000715956494824471,0.999923925390851,6,14,"protein deneddylation","BP"
"26","GO:0034968",0.000854387900161955,0.999878467479702,7,19,"histone lysine methylation","BP"
"27","GO:0051028",0.00101507328713332,0.999725981185366,12,50,"mRNA transport","BP"
"28","GO:0006406",0.00107013388158658,0.999778708414416,9,32,"mRNA export from nucleus","BP"
"29","GO:0006396",0.00113479212672388,0.999544621360149,21,117,"RNA processing","BP"
"30","GO:0042274",0.00115156238305643,0.99989934248376,5,11,"ribosomal small subunit biogenesis","BP"
"31","GO:0016075",0.00118180982647278,0.999783412410507,8,26,"rRNA catabolic process","BP"
"32","GO:0006606",0.00131907185954754,0.999657387117905,11,45,"protein import into nucleus","BP"
"33","GO:0034473",0.00138159941000769,0.999873997696041,5,11,"U1 snRNA 3'-end processing","BP"
"34","GO:0034476",0.00138159941000769,0.999873997696041,5,11,"U5 snRNA 3'-end processing","BP"
"35","GO:0071042",0.00138159941000769,0.999873997696041,5,11,"nuclear polyadenylation-dependent mRNA catabolic process","BP"
"36","GO:0016233",0.00152493850705547,0.999916483394427,4,7,"telomere capping","BP"
"37","GO:0042176",0.00179390009748649,0.999897135647968,4,7,"regulation of protein catabolic process","BP"
"38","GO:0042273",0.0018156884087018,0.999745596124441,6,18,"ribosomal large subunit biogenesis","BP"
"39","GO:0006413",0.00188832287720923,0.999186584773769,22,133,"translational initiation","BP"
"40","GO:0009553",0.00191576695218448,0.999237160748411,19,104,"embryo sac development","BP"
"41","GO:0010321",0.00202487523840937,0.999956156731268,3,4,"regulation of vegetative phase change","BP"
"42","GO:0006891",0.00217279563630071,0.999238116715509,15,76,"intra-Golgi vesicle-mediated transport","BP"
"43","GO:0040029",0.00237988596237693,0.999575640320838,7,22,"regulation of gene expression, epigenetic","BP"
"44","GO:0000463",0.00252813045471053,0.999620933408428,6,18,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"45","GO:0034969",0.0025661932958144,0.999717541702129,5,12,"histone arginine methylation","BP"
"46","GO:0010455",0.00257976957619411,0.999938990171814,3,4,"positive regulation of cell fate commitment","BP"
"47","GO:0017148",0.00261025500451563,0.999303915252367,10,44,"negative regulation of translation","BP"
"48","GO:0051974",0.00263220862142787,0.99993729010011,3,4,"negative regulation of telomerase activity","BP"
"49","GO:0050982",0.00265954239861309,0.999936398877898,3,4,"detection of mechanical stimulus","BP"
"50","GO:0010142",0.00272393287196205,0.999934285848409,3,4,"farnesyl diphosphate biosynthetic process, mevalonate pathway","BP"
"51","GO:0006913",0.00273100852050472,0.999412584428928,8,29,"nucleocytoplasmic transport","BP"
"52","GO:0048868",0.00276939591365273,0.999259822371908,10,42,"pollen tube development","BP"
"53","GO:0043928",0.00287794321845436,0.99945337807375,7,25,"exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay","BP"
"54","GO:0010971",0.00307524049461396,0.999771097714162,4,8,"positive regulation of G2/M transition of mitotic cell cycle","BP"
