"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0061631",9.17546155412818e-05,0.999974027320736,17,89,"ubiquitin conjugating enzyme activity","MF"
"2","GO:0019706",0.000162143925462812,0.999975126208635,9,28,"protein-cysteine S-palmitoyltransferase activity","MF"
"3","GO:0004715",0.000623626848864211,0.999933623595818,6,15,"non-membrane spanning protein tyrosine kinase activity","MF"
"4","GO:0004712",0.000779359775716869,0.99972339332391,18,95,"protein serine/threonine/tyrosine kinase activity","MF"
"5","GO:0030276",0.00155705121834102,0.999586900104357,11,45,"clathrin binding","MF"
"6","GO:0005483",0.00158380365405783,0.999968625787513,3,4,"soluble NSF attachment protein activity","MF"
"7","GO:0003714",0.00339973495808821,0.999149564370004,9,35,"transcription corepressor activity","MF"
"8","GO:0004842",0.00418669851978244,0.997443990120217,48,438,"ubiquitin-protein transferase activity","MF"
"9","GO:0005515",0.00509984692333009,0.995704858976339,396,4650,"protein binding","MF"
"10","GO:0019707",0.0052684227764003,1,2,2,"protein-cysteine S-acyltransferase activity","MF"
"11","GO:0004630",0.00531801423103814,0.999054938729975,6,19,"phospholipase D activity","MF"
"12","GO:0070290",0.00531801423103814,0.999054938729975,6,19,"N-acylphosphatidylethanolamine-specific phospholipase D activity","MF"
"13","GO:0015095",0.00532330519398842,0.998836135007585,7,29,"magnesium ion transmembrane transporter activity","MF"
"14","GO:0008565",0.00535247575105058,0.997685975880867,18,117,"protein transporter activity","MF"
"15","GO:0034387",0.00664710907514916,1,2,2,"4-aminobutyrate:pyruvate transaminase activity","MF"
"16","GO:0102351",0.00664710907514916,1,2,2,"gamma-aminobutyrate transaminase (glyoxylate dependent) activity","MF"
"17","GO:0003674",0.00734301646947756,0.99382056236222,348,5012,"molecular_function","MF"
"18","GO:0005546",0.00764469883615254,0.997996104185179,8,33,"phosphatidylinositol-4,5-bisphosphate binding","MF"
"19","GO:0005096",0.0078660298202307,0.996561743818984,17,107,"GTPase activator activity","MF"
"20","GO:0031176",0.00797592548704877,0.99950812014772,3,6,"endo-1,4-beta-xylanase activity","MF"
"21","GO:0004663",0.00814662586392049,0.999493598147453,3,6,"Rab geranylgeranyltransferase activity","MF"
"22","GO:0047274",0.008774516374416,0.999439177418467,3,6,"galactinol-sucrose galactosyltransferase activity","MF"
"23","GO:0034075",0.0100986785673345,1,2,2,"arabidiol synthase activity","MF"
"24","GO:0003883",0.0106218271627207,0.998670851170713,4,11,"CTP synthase activity","MF"
"25","GO:0004843",0.012160064984843,0.995107968893529,13,80,"thiol-dependent ubiquitin-specific protease activity","MF"
"26","GO:0015035",0.0124833518035784,0.995582569251452,10,82,"protein disulfide oxidoreductase activity","MF"
"27","GO:0035064",0.0133112140559096,0.996473848419601,7,32,"methylated histone binding","MF"
"28","GO:0046316",0.0141370205284723,0.999512858907002,2,4,"gluconokinase activity","MF"
"29","GO:0033550",0.0151074243322261,0.999615245611147,2,3,"MAP kinase tyrosine phosphatase activity","MF"
"30","GO:0004722",0.0154730966479789,0.991265588562954,27,227,"protein serine/threonine phosphatase activity","MF"
"31","GO:0004105",0.0160534801664754,0.999577521214527,2,3,"choline-phosphate cytidylyltransferase activity","MF"
"32","GO:0051861",0.0160857388343716,0.999576212591674,2,3,"glycolipid binding","MF"
"33","GO:0008142",0.0180149568982998,0.995555266256381,6,26,"oxysterol binding","MF"
"34","GO:0015248",0.0180149568982998,0.995555266256381,6,26,"sterol transporter activity","MF"
