"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0005634",2.70269692158128e-25,1,2901,12765,"nucleus","CC"
"2","GO:0005681",1.79395027213006e-05,0.999991858853781,53,155,"spliceosomal complex","CC"
"3","GO:0005845",9.92933953635069e-05,0.999994442005992,8,10,"mRNA cap binding complex","CC"
"4","GO:0005779",0.000634602770831558,0.999880121918968,11,21,"integral component of peroxisomal membrane","CC"
"5","GO:0016607",0.0013549336499226,0.99922145142201,57,189,"nuclear speck","CC"
"6","GO:0019005",0.00143234837509927,0.99933139619265,32,98,"SCF ubiquitin ligase complex","CC"
"7","GO:0016602",0.00622188325403799,0.9983592576312,10,23,"CCAAT-binding factor complex","CC"
"8","GO:0005814",0.00655179578463454,1,3,3,"centriole","CC"
"9","GO:0005777",0.00790443286787272,0.994515912977524,84,334,"peroxisome","CC"
"10","GO:0034098",0.00821071927634093,1,3,3,"VCP-NPL4-UFD1 AAA ATPase complex","CC"
"11","GO:0035101",0.00913965272116551,1,3,3,"FACT complex","CC"
"12","GO:0016589",0.0132257017390249,1,3,3,"NURF complex","CC"
"13","GO:0016592",0.0181743667842007,0.991257916685755,20,62,"mediator complex","CC"
"14","GO:0042995",0.0227443182562744,0.998757922992999,3,4,"cell projection","CC"
"15","GO:0033281",0.0228037017104185,0.998753346505614,3,4,"TAT protein transport complex","CC"
"16","GO:0000784",0.0315962268031725,0.988535418582295,10,27,"nuclear chromosome, telomeric region","CC"
"17","GO:0030015",0.0319367806038628,0.991075256477143,7,17,"CCR4-NOT core complex","CC"
"18","GO:0009527",0.0333961073261345,0.991756483996951,6,14,"plastid outer membrane","CC"
"19","GO:0070449",0.035672451497374,1,2,2,"elongin complex","CC"
"20","GO:0030014",0.0365027711474418,0.994727741822748,4,7,"CCR4-NOT complex","CC"
"21","GO:0070522",0.0368667623186693,1,2,2,"ERCC4-ERCC1 complex","CC"
"22","GO:0009514",0.0368860690165578,0.990943299793883,6,13,"glyoxysome","CC"
"23","GO:0000151",0.0377916933807088,0.978827480933435,24,79,"ubiquitin ligase complex","CC"
"24","GO:0005719",0.0381296217181602,0.994409994197941,4,7,"nuclear euchromatin","CC"
"25","GO:0005887",0.0396816359880543,0.972475768850637,53,205,"integral component of plasma membrane","CC"
"26","GO:0031226",0.0415892193767205,1,2,2,"intrinsic component of plasma membrane","CC"
"27","GO:0009368",0.0427253614636521,0.990596384457341,5,11,"endopeptidase Clp complex","CC"
"28","GO:0031201",0.044342094875625,0.975925985030172,20,72,"SNARE complex","CC"
"29","GO:0005669",0.0473236802111944,0.981358818184199,10,28,"transcription factor TFIID complex","CC"
"30","GO:0036513",0.0570782796742708,0.98114195848434,7,19,"Derlin-1 retrotranslocation complex","CC"
"31","GO:0005737",0.0581917328809466,0.945839670272459,1271,6152,"cytoplasm","CC"
"32","GO:1990112",0.0587789425281011,1,2,2,"RQC complex","CC"
"33","GO:0000110",0.0616074606284403,0.992658640063898,3,5,"nucleotide-excision repair factor 1 complex","CC"
"34","GO:0055087",0.0644668674620055,1,2,2,"Ski complex","CC"
"35","GO:0000127",0.0694190996312037,0.982320185645952,5,11,"transcription factor TFIIIC complex","CC"
"36","GO:0031011",0.0874941566880483,0.975197859953013,5,12,"Ino80 complex","CC"
"37","GO:0009707",0.0929870149798804,0.944377442189542,20,74,"chloroplast outer membrane","CC"
"38","GO:0071821",0.0933945155455016,0.993281432453302,2,3,"FANCM-MHF complex","CC"
"39","GO:0089701",0.0959069068527023,0.977142072596654,4,9,"U2AF","CC"
"40","GO:0098590",0.0965741248796284,0.992907550946615,2,3,"plasma membrane region","CC"
"41","GO:0000407",0.103157768224264,0.964062616088611,6,16,"phagophore assembly site","CC"
"42","GO:0000813",0.107474482034576,0.965888230960066,5,14,"ESCRT I complex","CC"
"43","GO:0030875",0.113010995264542,0.971342671487196,4,9,"rDNA protrusion","CC"
"44","GO:0035097",0.113785013575182,0.96488003662297,5,12,"histone methyltransferase complex","CC"
"45","GO:0010445",0.11416986176943,0.958422716137672,6,17,"nuclear dicing body","CC"
"46","GO:0000111",0.123216966550757,0.989451332130438,2,3,"nucleotide-excision repair factor 2 complex","CC"
"47","GO:0071942",0.123216966550757,0.989451332130438,2,3,"XPC complex","CC"
"48","GO:0071013",0.126872145051414,0.925492930387394,16,59,"catalytic step 2 spliceosome","CC"
"49","GO:0000164",0.130884826562274,0.972200422563843,3,7,"protein phosphatase type 1 complex","CC"
"50","GO:0044614",0.13443862684296,0.973378799682158,3,6,"nuclear pore cytoplasmic filaments","CC"
"51","GO:0032991",0.135036833471595,0.939055727265616,8,25,"protein-containing complex","CC"
"52","GO:0031012",0.135449996963309,0.952845929273023,5,15,"extracellular matrix","CC"
"53","GO:0012510",0.135592298829979,0.987652287379967,2,3,"trans-Golgi network transport vesicle membrane","CC"
"54","GO:0005778",0.139812494020966,0.919619135720754,14,53,"peroxisomal membrane","CC"
"55","GO:0071011",0.142168786560839,0.968598803661874,3,7,"precatalytic spliceosome","CC"
"56","GO:0000785",0.143056894526524,0.905175912038885,24,88,"chromatin","CC"
"57","GO:0031932",0.145155615197522,0.986178783613446,2,3,"TORC2 complex","CC"
"58","GO:0035061",0.146709685165385,0.955788466836055,4,11,"interchromatin granule","CC"
"59","GO:0005654",0.153344124074906,0.885802567270761,41,174,"nucleoplasm","CC"
"60","GO:0071004",0.156105911610997,0.916085343669601,11,38,"U2-type prespliceosome","CC"
"61","GO:0032586",0.157089006119929,0.951368258894706,4,11,"protein storage vacuole membrane","CC"
"62","GO:0000214",0.161274997505634,0.977492793067189,2,4,"tRNA-intron endonuclease complex","CC"
