"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath00190",4.97431589305651e-14,1,43,154,"Oxidative phosphorylation","KEGG"
"2","path:ath04145",3.48547391644687e-12,1,34,114,"Phagosome","KEGG"
"3","path:ath01100",3.56346409581986e-06,0.999998141044001,274,2820,"Metabolic pathways","KEGG"
"4","path:ath01200",0.00012582052187386,0.999934891916461,53,398,"Carbon metabolism","KEGG"
"5","path:ath00010",0.000297051028067317,0.999883115874084,25,149,"Glycolysis / Gluconeogenesis","KEGG"
"6","path:ath00514",0.000447268256784569,0.999943508516342,7,19,"Other types of O-glycan biosynthesis","KEGG"
"7","path:ath04144",0.00099722811389844,0.999526542488957,31,216,"Endocytosis","KEGG"
"8","path:ath00020",0.00119561821171206,0.999591530998494,16,86,"Citrate cycle (TCA cycle)","KEGG"
"9","path:ath00940",0.00422912274374339,0.997980730350934,24,171,"Phenylpropanoid biosynthesis","KEGG"
"10","path:ath04626",0.00685267441327578,0.996342887007026,29,226,"Plant-pathogen interaction","KEGG"
"11","path:ath01110",0.0105604523927233,0.992089660452106,134,1405,"Biosynthesis of secondary metabolites","KEGG"
"12","path:ath03050",0.0165553139432431,0.99307990534911,13,85,"Proteasome","KEGG"
"13","path:ath04070",0.0268706040244816,0.986811809025154,16,118,"Phosphatidylinositol signaling system","KEGG"
"14","path:ath00230",0.0290985542860971,0.985217459672047,17,130,"Purine metabolism","KEGG"
"15","path:ath00620",0.0376960431184911,0.980215494143752,17,133,"Pyruvate metabolism","KEGG"
"16","path:ath00760",0.038583554047101,0.990035487611826,5,24,"Nicotinate and nicotinamide metabolism","KEGG"
"17","path:ath00905",0.0532796395681377,0.991165537169071,3,11,"Brassinosteroid biosynthesis","KEGG"
"18","path:ath00590",0.0583903756942754,0.98592212891649,4,19,"Arachidonic acid metabolism","KEGG"
"19","path:ath00030",0.0849227384641303,0.957147877203967,11,87,"Pentose phosphate pathway","KEGG"
"20","path:ath00380",0.0980453850413742,0.951038136616866,10,79,"Tryptophan metabolism","KEGG"
"21","path:ath00710",0.110127541511502,0.941624947089238,11,91,"Carbon fixation in photosynthetic organisms","KEGG"
"22","path:ath01210",0.110348321431004,0.939660222654587,12,101,"2-Oxocarboxylic acid metabolism","KEGG"
"23","path:ath00909",0.112289972906416,0.965304808345032,4,23,"Sesquiterpenoid and triterpenoid biosynthesis","KEGG"
"24","path:ath00920",0.115513535264559,0.945602862097154,8,62,"Sulfur metabolism","KEGG"
"25","path:ath00630",0.121091971435668,0.927805850028698,15,135,"Glyoxylate and dicarboxylate metabolism","KEGG"
"26","path:ath00511",0.127819215700846,0.951706822807235,5,33,"Other glycan degradation","KEGG"
"27","path:ath00052",0.142564055613779,0.929401675163191,8,64,"Galactose metabolism","KEGG"
"28","path:ath00860",0.151656650472597,0.923685709700903,8,66,"Porphyrin and chlorophyll metabolism","KEGG"
"29","path:ath00965",0.152028436125927,0.993748110619202,1,2,"Betalain biosynthesis","KEGG"
"30","path:ath00945",0.153597504163252,0.971703172192749,2,9,"Stilbenoid, diarylheptanoid and gingerol biosynthesis","KEGG"
"31","path:ath00670",0.157878938703295,0.935817185822619,5,36,"One carbon pool by folate","KEGG"
