"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath00940",5.55527382048133e-08,0.999999985099681,31,143,"Phenylpropanoid biosynthesis","KEGG"
"2","path:ath04626",9.4191323928562e-08,0.999999970999636,36,186,"Plant-pathogen interaction","KEGG"
"3","path:ath00910",3.49428850361209e-06,0.999999425894018,14,46,"Nitrogen metabolism","KEGG"
"4","path:ath00966",1.5880921020813e-05,0.999998363568619,9,22,"Glucosinolate biosynthesis","KEGG"
"5","path:ath04016",4.80741620500906e-05,0.999983396096907,25,142,"MAPK signaling pathway - plant","KEGG"
"6","path:ath00908",0.000282662336387429,0.999967057867724,7,19,"Zeatin biosynthesis","KEGG"
"7","path:ath04075",0.000671315486056207,0.99967092887359,36,273,"Plant hormone signal transduction","KEGG"
"8","path:ath01110",0.000724212321285737,0.999520338105008,116,1192,"Biosynthesis of secondary metabolites","KEGG"
"9","path:ath00564",0.0100505419266833,0.99549747143974,17,125,"Glycerophospholipid metabolism","KEGG"
"10","path:ath00511",0.0223891006811656,0.995036266373008,5,23,"Other glycan degradation","KEGG"
"11","path:ath01210",0.0233887602500121,0.99009918428594,12,86,"2-Oxocarboxylic acid metabolism","KEGG"
"12","path:ath00591",0.0234404921038232,0.997350844097537,3,9,"Linoleic acid metabolism","KEGG"
"13","path:ath01100",0.0254686384621133,0.980002533254362,202,2435,"Metabolic pathways","KEGG"
"14","path:ath00592",0.0263383758557443,0.991829122831453,7,40,"alpha-Linolenic acid metabolism","KEGG"
"15","path:ath00460",0.0266574760026802,0.989542365543709,10,68,"Cyanoamino acid metabolism","KEGG"
"16","path:ath02010",0.0301427215566895,0.992688915359982,5,25,"ABC transporters","KEGG"
"17","path:ath00565",0.0387373301485663,0.988230827771127,6,35,"Ether lipid metabolism","KEGG"
"18","path:ath00500",0.0460237124457826,0.974691855445995,18,161,"Starch and sucrose metabolism","KEGG"
"19","path:ath00561",0.0535335637153873,0.976165670499663,10,77,"Glycerolipid metabolism","KEGG"
"20","path:ath00250",0.055321797238307,0.976474093922756,9,67,"Alanine, aspartate and glutamate metabolism","KEGG"
"21","path:ath00240",0.0852604056518789,0.96038509344057,9,72,"Pyrimidine metabolism","KEGG"
"22","path:ath00600",0.0883397710799587,0.970204604339471,5,33,"Sphingolipid metabolism","KEGG"
"23","path:ath00062",0.0901460998405752,0.974243520551117,4,23,"Fatty acid elongation","KEGG"
"24","path:ath00562",0.0919193520528252,0.952833299965847,11,96,"Inositol phosphate metabolism","KEGG"
"25","path:ath00040",0.0923682161488582,0.956350721971333,9,73,"Pentose and glucuronate interconversions","KEGG"
"26","path:ath00920",0.118467567852129,0.947184112609151,7,55,"Sulfur metabolism","KEGG"
"27","path:ath00601",0.153612389835815,0.993614086058927,1,2,"Glycosphingolipid biosynthesis - lacto and neolacto series","KEGG"
"28","path:ath00514",0.161775405933256,0.952942607651933,3,19,"Other types of O-glycan biosynthesis","KEGG"
"29","path:ath04144",0.168617827085385,0.888986758985563,18,189,"Endocytosis","KEGG"
"30","path:ath00430",0.182289449000683,0.943692070713158,3,20,"Taurine and hypotaurine metabolism","KEGG"
"31","path:ath04130",0.186876435366243,0.919268007825536,5,40,"SNARE interactions in vesicular transport","KEGG"
"32","path:ath00590",0.188324784087993,0.940933183417313,3,20,"Arachidonic acid metabolism","KEGG"
"33","path:ath00052",0.238508160602869,0.878170488436408,6,57,"Galactose metabolism","KEGG"
"34","path:ath00380",0.254809662161032,0.859344271834741,7,69,"Tryptophan metabolism","KEGG"
"35","path:ath00410",0.288526469023002,0.853601541523031,5,49,"beta-Alanine metabolism","KEGG"
"36","path:ath00290",0.303083191649689,0.877574384835645,3,26,"Valine, leucine and isoleucine biosynthesis","KEGG"
