"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0005096",0.0025276253891772,0.999057243953865,16,90,"GTPase activator activity","MF"
"2","GO:0004617",0.00407286829482769,0.999629332632999,4,10,"phosphoglycerate dehydrogenase activity","MF"
"3","GO:0004372",0.00538924789949779,0.999468140156291,4,10,"glycine hydroxymethyltransferase activity","MF"
"4","GO:0070905",0.00538924789949779,0.999468140156291,4,10,"serine binding","MF"
"5","GO:0008821",0.00919379134731256,0.999402072845371,3,6,"crossover junction endodeoxyribonuclease activity","MF"
"6","GO:0008142",0.0108229878002,0.997664722975342,6,23,"oxysterol binding","MF"
"7","GO:0015248",0.0108229878002,0.997664722975342,6,23,"sterol transporter activity","MF"
"8","GO:0003881",0.0129351393200566,0.99969698382396,2,3,"CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity","MF"
"9","GO:0032934",0.0145000156012915,0.996614381982241,6,25,"sterol binding","MF"
"10","GO:0004400",0.0165425693813094,0.999557577316286,2,3,"histidinol-phosphate transaminase activity","MF"
"11","GO:0004057",0.0167012922042862,0.999551017167167,2,3,"arginyltransferase activity","MF"
"12","GO:0032266",0.0177904187523429,0.998262545204401,3,8,"phosphatidylinositol-3-phosphate binding","MF"
"13","GO:0016597",0.0181911789833532,0.995456814617998,6,28,"amino acid binding","MF"
"14","GO:0004518",0.0198427748456058,0.993593260542492,8,45,"nuclease activity","MF"
"15","GO:0015085",0.0211190679839726,0.999354884270785,2,3,"calcium ion transmembrane transporter activity","MF"
"16","GO:0004843",0.0214232109885961,0.991452428259145,11,68,"thiol-dependent ubiquitin-specific protease activity","MF"
"17","GO:0008514",0.021741484892479,0.995194934417757,5,23,"organic anion transmembrane transporter activity","MF"
"18","GO:0004140",0.022093960968546,0.999032147686052,2,4,"dephospho-CoA kinase activity","MF"
"19","GO:0008234",0.0224892307023804,0.990896066528867,11,76,"cysteine-type peptidase activity","MF"
"20","GO:0003964",0.0250023611972488,0.996924478611133,3,11,"RNA-directed DNA polymerase activity","MF"
"21","GO:0017076",0.0255151702053307,0.999135176836385,2,3,"purine nucleotide binding","MF"
"22","GO:0047517",0.0286547690428854,0.998553250932514,2,4,"1,4-beta-D-xylan synthase activity","MF"
"23","GO:0042162",0.0302984693789393,0.992734839324213,5,22,"telomeric DNA binding","MF"
"24","GO:0016853",0.0305029789733584,0.991201862082673,6,35,"isomerase activity","MF"
"25","GO:0051015",0.0311110561654335,0.986249356100388,12,77,"actin filament binding","MF"
"26","GO:0042781",0.031575922068511,0.998318178252535,2,4,"3'-tRNA processing endoribonuclease activity","MF"
"27","GO:0008327",0.0335075620087129,0.993350770060733,4,17,"methyl-CpG binding","MF"
"28","GO:0003951",0.0398840903156646,0.98962904270875,5,23,"NAD+ kinase activity","MF"
"29","GO:0034459",0.0423620764786238,0.987092389392748,6,28,"ATP-dependent 3'-5' RNA helicase activity","MF"
"30","GO:0003779",0.0466880808087677,0.978762318142212,11,77,"actin binding","MF"
"31","GO:0000213",0.0486730752188395,0.995882059181049,2,6,"tRNA-intron endonuclease activity","MF"
"32","GO:0019899",0.0504499763346282,0.98829561739111,4,20,"enzyme binding","MF"
"33","GO:0019887",0.0510202818205304,0.988045766248729,4,21,"protein kinase regulator activity","MF"
"34","GO:0008301",0.0535830461051756,0.995579293238439,2,5,"DNA binding, bending","MF"
"35","GO:0004422",0.0542560647728607,1,1,1,"hypoxanthine phosphoribosyltransferase activity","MF"
