"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0015979",1.3424801981122e-25,1,65,117,"photosynthesis","BP"
"2","GO:0010207",7.46556047533207e-12,1,19,25,"photosystem II assembly","BP"
"3","GO:0009735",1.34942355894182e-10,1,72,240,"response to cytokinin","BP"
"4","GO:0009768",3.83752257953405e-10,0.999999999981769,16,21,"photosynthesis, light harvesting in photosystem I","BP"
"5","GO:0055114",1.36814945070564e-09,1,250,1239,"oxidation-reduction process","BP"
"6","GO:0018298",3.04651240221803e-08,0.999999994744697,23,49,"protein-chromophore linkage","BP"
"7","GO:0009644",1.23365418161827e-06,0.99999968138542,26,69,"response to high light intensity","BP"
"8","GO:0010114",1.97999700582453e-06,0.99999950891984,24,62,"response to red light","BP"
"9","GO:0006833",5.74495089687037e-06,0.999999260798356,13,24,"water transport","BP"
"10","GO:0009765",9.31787966216103e-06,1,6,6,"photosynthesis, light harvesting","BP"
"11","GO:0005975",1.09260538165534e-05,0.999994437040406,73,320,"carbohydrate metabolic process","BP"
"12","GO:0009658",1.24856939960188e-05,0.999994525843331,47,179,"chloroplast organization","BP"
"13","GO:0019388",1.55797466973289e-05,0.999999180029629,8,11,"galactose catabolic process","BP"
"14","GO:0010218",1.7968355263528e-05,0.999995249241779,21,58,"response to far red light","BP"
"15","GO:0015995",1.80226465547822e-05,0.999995457788456,20,53,"chlorophyll biosynthetic process","BP"
"16","GO:0010027",3.34197380811363e-05,0.999991086469702,20,55,"thylakoid membrane organization","BP"
"17","GO:0010020",5.23930595430126e-05,0.999990640400785,13,29,"chloroplast fission","BP"
"18","GO:0042549",5.7546370317638e-05,0.999998637459055,6,7,"photosystem II stabilization","BP"
"19","GO:0009637",6.26959787410921e-05,0.999982221756384,20,58,"response to blue light","BP"
"20","GO:0010196",8.80956379623671e-05,0.99999473540127,7,10,"nonphotochemical quenching","BP"
"21","GO:0009645",0.000109501287896119,0.999993205444141,7,10,"response to low light intensity stimulus","BP"
"22","GO:0045454",0.000144552305940696,0.999933530275644,40,156,"cell redox homeostasis","BP"
"23","GO:0009269",0.000154646106215057,0.999971126794444,12,27,"response to desiccation","BP"
"24","GO:0010205",0.000166463927774172,0.999982967812115,8,14,"photoinhibition","BP"
"25","GO:0032544",0.000251328172532893,0.999972557679391,8,14,"plastid translation","BP"
"26","GO:0006636",0.000265858130178412,0.999957250189924,10,21,"unsaturated fatty acid biosynthetic process","BP"
"27","GO:0043572",0.00028388632070969,0.999992514529115,5,6,"plastid fission","BP"
"28","GO:0010136",0.000404951876799764,1,4,4,"ureide catabolic process","BP"
"29","GO:0034337",0.000421009945622378,1,4,4,"RNA folding","BP"
"30","GO:0010350",0.000427669691424723,1,4,4,"cellular response to magnesium starvation","BP"
"31","GO:0071286",0.000427669691424723,1,4,4,"cellular response to magnesium ion","BP"
"32","GO:0071325",0.000427669691424723,1,4,4,"cellular response to mannitol stimulus","BP"
"33","GO:0072709",0.000427669691424723,1,4,4,"cellular response to sorbitol","BP"
"34","GO:0010206",0.000443804226119893,0.999944122531577,8,15,"photosystem II repair","BP"
"35","GO:0034553",0.000448286552395304,1,4,4,"mitochondrial respiratory chain complex II assembly","BP"
"36","GO:0007623",0.000462653280853055,0.999787662255727,34,135,"circadian rhythm","BP"
"37","GO:0071555",0.000535389147538551,0.99969933692124,56,263,"cell wall organization","BP"
"38","GO:0009773",0.00054425759800548,0.999944170670314,7,12,"photosynthetic electron transport in photosystem I","BP"
"39","GO:0034599",0.0007649517876793,0.999766572760055,16,48,"cellular response to oxidative stress","BP"
"40","GO:0009416",0.000792675862462955,0.999569465238072,48,214,"response to light stimulus","BP"
"41","GO:0016126",0.000866207282337739,0.999757438425298,14,41,"sterol biosynthetic process","BP"
"42","GO:0000413",0.000899655467968232,0.999732909512794,15,45,"protein peptidyl-prolyl isomerization","BP"
"43","GO:0006508",0.000970523493941914,0.999376459561776,83,428,"proteolysis","BP"
"44","GO:0009409",0.00113596358223291,0.999274797193723,79,399,"response to cold","BP"
"45","GO:0045037",0.00122402020498072,0.999706776876369,11,31,"protein import into chloroplast stroma","BP"
"46","GO:0055129",0.00149617528832495,0.999954614004127,4,5,"L-proline biosynthetic process","BP"
"47","GO:0006145",0.00151030812377246,0.999954060544432,4,5,"purine nucleobase catabolic process","BP"
"48","GO:0033499",0.00164781119720484,0.999768714890489,7,14,"galactose catabolic process via UDP-galactose","BP"
"49","GO:0098869",0.00178597007673454,0.999745527964413,7,14,"cellular oxidant detoxification","BP"
"50","GO:2001141",0.00179348027130322,0.999942656768802,4,5,"regulation of RNA biosynthetic process","BP"
"51","GO:0071483",0.00189436629553062,0.999938456500206,4,5,"cellular response to blue light","BP"
"52","GO:0075733",0.00190047795800391,0.999938199837514,4,5,"intracellular transport of virus","BP"
"53","GO:0018008",0.00190473568551997,0.999938020884488,4,5,"N-terminal peptidyl-glycine N-myristoylation","BP"
"54","GO:0031117",0.0019097037724227,0.999937811922205,4,5,"positive regulation of microtubule depolymerization","BP"
"55","GO:0009769",0.00198177280869855,0.999934762299096,4,5,"photosynthesis, light harvesting in photosystem II","BP"
"56","GO:0009737",0.00207280926153349,0.99858734430093,95,513,"response to abscisic acid","BP"
"57","GO:0005983",0.00212297252588841,0.999601799655632,8,20,"starch catabolic process","BP"
"58","GO:0019878",0.00235880478744631,1,3,3,"lysine biosynthetic process via aminoadipic acid","BP"
"59","GO:0045038",0.00237033159744969,0.999807883307836,5,8,"protein import into chloroplast thylakoid membrane","BP"
"60","GO:0051511",0.00238278110902638,0.999806626359972,5,8,"negative regulation of unidimensional cell growth","BP"
"61","GO:0010411",0.00244835382650097,0.999217590693911,14,44,"xyloglucan metabolic process","BP"
"62","GO:0009834",0.00269835048583782,0.998967823867154,18,64,"plant-type secondary cell wall biogenesis","BP"
"63","GO:0001173",0.00274508637914833,1,3,3,"DNA-templated transcriptional start site selection","BP"
"64","GO:0000256",0.00287534466600112,1,3,3,"allantoin catabolic process","BP"
"65","GO:0010270",0.00288526642402441,1,3,3,"photosystem II oxygen evolving complex assembly","BP"
"66","GO:0019684",0.00301128457458359,0.999508645979943,7,15,"photosynthesis, light reaction","BP"
"67","GO:0031539",0.00301228309624635,1,3,3,"positive regulation of anthocyanin metabolic process","BP"
"68","GO:0018293",0.00308060450060091,1,3,3,"protein-FAD linkage","BP"
"69","GO:0071492",0.00308351145189993,1,3,3,"cellular response to UV-A","BP"
"70","GO:0071482",0.00357459041760193,0.999511341508897,6,12,"cellular response to light stimulus","BP"
"71","GO:0006561",0.00405000008637507,0.999580283039361,5,9,"proline biosynthetic process","BP"
"72","GO:0007017",0.00433084354235074,0.998749655840901,11,33,"microtubule-based process","BP"
"73","GO:0006631",0.00480549036536674,0.998234310817311,15,53,"fatty acid metabolic process","BP"
"74","GO:0019252",0.00492133938977153,0.998535655474516,11,35,"starch biosynthetic process","BP"
"75","GO:0031115",0.00510441463328724,0.999668958567648,4,6,"negative regulation of microtubule polymerization","BP"
"76","GO:0000226",0.00626514170563826,0.99761948377016,15,54,"microtubule cytoskeleton organization","BP"
"77","GO:0046785",0.00657069866021992,0.999450028976453,4,7,"microtubule polymerization","BP"
"78","GO:0042793",0.00780401396625579,0.998971860168074,5,10,"plastid transcription","BP"
"79","GO:0009414",0.00853326449328176,0.994227510453369,68,365,"response to water deprivation","BP"
"80","GO:0009772",0.00854028599959645,0.998848531794843,5,10,"photosynthetic electron transport in photosystem II","BP"
"81","GO:0009832",0.00870363082450472,0.996969929582805,12,43,"plant-type cell wall biogenesis","BP"
"82","GO:0009963",0.00882507378907573,0.999192379852857,4,7,"positive regulation of flavonoid biosynthetic process","BP"
"83","GO:0006427",0.0101512912924242,0.999598159973929,3,4,"histidyl-tRNA aminoacylation","BP"
"84","GO:0009294",0.0102741594814806,0.996765067356633,10,34,"DNA mediated transformation","BP"
