"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0009535",3.44039003560737e-56,1,189,403,"chloroplast thylakoid membrane","CC"
"2","GO:0009941",1.70365729475442e-44,1,233,660,"chloroplast envelope","CC"
"3","GO:0009534",1.83436393742956e-36,1,115,236,"chloroplast thylakoid","CC"
"4","GO:0009507",4.4062133883548e-34,1,1081,5636,"chloroplast","CC"
"5","GO:0009579",4.25486969884173e-31,1,107,232,"thylakoid","CC"
"6","GO:0009570",1.05072260337516e-26,1,229,812,"chloroplast stroma","CC"
"7","GO:0009523",7.03953408356673e-17,1,25,30,"photosystem II","CC"
"8","GO:0010287",7.45177038543538e-15,1,40,77,"plastoglobule","CC"
"9","GO:0005773",3.73773225400233e-13,1,176,751,"vacuole","CC"
"10","GO:0009522",5.66070012013419e-13,1,19,23,"photosystem I","CC"
"11","GO:0009543",9.38262143538027e-12,1,38,84,"chloroplast thylakoid lumen","CC"
"12","GO:0031977",1.40696548350469e-08,0.999999997492092,25,53,"thylakoid lumen","CC"
"13","GO:0030076",1.72146035120512e-08,0.999999999178089,13,17,"light-harvesting complex","CC"
"14","GO:0009654",2.61923549091759e-08,0.999999998989842,12,15,"photosystem II oxygen evolving complex","CC"
"15","GO:0010319",1.55866488779291e-07,0.999999974567072,20,41,"stromule","CC"
"16","GO:0030095",6.12315301540205e-06,0.999999538374579,10,15,"chloroplast photosystem II","CC"
"17","GO:0009538",6.81301621586399e-06,0.999999748065103,8,10,"photosystem I reaction center","CC"
"18","GO:0009536",4.7551444606869e-05,0.999972818450533,84,394,"plastid","CC"
"19","GO:0009517",5.67837811181102e-05,0.999998659007658,6,7,"PSII associated light-harvesting complex II","CC"
"20","GO:0031969",5.94516504683798e-05,0.999973599519895,41,159,"chloroplast membrane","CC"
"21","GO:0016020",7.36235272657237e-05,0.999943559975442,330,1945,"membrane","CC"
"22","GO:0009295",0.000138733603293138,0.999967118281516,15,39,"nucleoid","CC"
"23","GO:0010007",0.000349068757691985,1,4,4,"magnesium chelatase complex","CC"
"24","GO:0005774",0.000385565688606512,0.999738769326715,122,652,"vacuolar membrane","CC"
"25","GO:0048046",0.000728568185498668,0.999527145431004,91,466,"apoplast","CC"
"26","GO:0009505",0.00126072331104073,0.999224846400917,67,328,"plant-type cell wall","CC"
"27","GO:0005777",0.001285657975427,0.999239592962552,58,278,"peroxisome","CC"
"28","GO:0009707",0.00139703311089271,0.999519720788602,17,57,"chloroplast outer membrane","CC"
"29","GO:0016471",0.00170344370592254,0.999872584815414,5,8,"vacuolar proton-transporting V-type ATPase complex","CC"
"30","GO:0055035",0.00241987461006972,0.999802871377022,5,8,"plastid thylakoid membrane","CC"
"31","GO:0009706",0.00250027900086541,0.998890837555711,24,95,"chloroplast inner membrane","CC"
"32","GO:0046658",0.0027015513780029,0.99861939700072,33,140,"anchored component of plasma membrane","CC"
"33","GO:0030093",0.0030821600420181,1,3,3,"chloroplast photosystem I","CC"
"34","GO:0005618",0.00370561839673306,0.997393656456509,100,545,"cell wall","CC"
"35","GO:0005874",0.00485211357141951,0.997159719731844,43,219,"microtubule","CC"
"36","GO:0009501",0.00645663239617711,0.998915319122214,6,14,"amyloplast","CC"
"37","GO:0005623",0.00717895259943907,0.996611525540267,22,94,"cell","CC"
"38","GO:0042651",0.00812549705595789,0.997771977383009,9,27,"thylakoid membrane","CC"
"39","GO:0031357",0.00957952198652153,0.999629221887613,3,4,"integral component of chloroplast inner membrane","CC"
"40","GO:0000325",0.00997696425687604,0.996082373459949,14,56,"plant-type vacuole","CC"
"41","GO:0009528",0.0100403210656551,0.999604245182762,3,4,"plastid inner membrane","CC"
"42","GO:0005881",0.0105044503055556,0.998985922890116,4,7,"cytoplasmic microtubule","CC"
"43","GO:0009508",0.0124300445695485,0.997064806566593,7,19,"plastid chromosome","CC"
"44","GO:0005829",0.0130334814143461,0.988784489720967,408,2669,"cytosol","CC"
"45","GO:0000311",0.0145524722460876,0.996984154235942,6,15,"plastid large ribosomal subunit","CC"
"46","GO:0009705",0.0187355566237435,0.989390869169741,28,134,"plant-type vacuole membrane","CC"
"47","GO:0031511",0.0187678347676074,1,2,2,"Mis6-Sim4 complex","CC"
"48","GO:0048226",0.0199064851855411,0.9963279145452,5,12,"Casparian strip","CC"
"49","GO:0080085",0.0205603014762322,1,2,2,"signal recognition particle, chloroplast targeting","CC"
"50","GO:0008290",0.0209001489479738,1,2,2,"F-actin capping protein complex","CC"
"51","GO:0009782",0.0211590089658771,1,2,2,"photosystem I antenna complex","CC"
"52","GO:0009783",0.0211681674415583,1,2,2,"photosystem II antenna complex","CC"
"53","GO:0016469",0.0211747987055372,1,2,2,"proton-transporting two-sector ATPase complex","CC"
"54","GO:0009515",0.0211955578457786,1,2,2,"granal stacked thylakoid","CC"
"55","GO:0009506",0.0235267603366188,0.980786903793642,181,1163,"plasmodesma","CC"
"56","GO:0042807",0.0244761910547635,0.998020452838692,3,5,"central vacuole","CC"
"57","GO:0030688",0.0287453327498986,0.995486449845518,4,9,"preribosome, small subunit precursor","CC"
"58","GO:0009533",0.0294074653201246,0.995348145424549,4,9,"chloroplast stromal thylakoid","CC"
"59","GO:0031225",0.0302309547240153,0.980230685934922,41,212,"anchored component of membrane","CC"
"60","GO:0016604",0.0311376800401313,0.990576062530584,7,24,"nuclear body","CC"
"61","GO:0034707",0.0354814262632796,0.993749923746253,4,10,"chloride channel complex","CC"
"62","GO:0031966",0.0387022552847293,0.980594362328004,16,70,"mitochondrial membrane","CC"
"63","GO:0016605",0.0388349893798349,0.995555791321308,3,6,"PML body","CC"
"64","GO:0009346",0.0393617277816118,0.995470424414017,3,6,"citrate lyase complex","CC"
"65","GO:0043036",0.0415862861991163,0.995104396189879,3,6,"starch grain","CC"
"66","GO:0000312",0.0417279729650286,0.990043436255688,5,14,"plastid small ribosomal subunit","CC"
"67","GO:0035619",0.0442907422065723,0.993792082830169,3,8,"root hair tip","CC"
"68","GO:0005753",0.0462633848761185,0.986464792338695,6,19,"mitochondrial proton-transporting ATP synthase complex","CC"
"69","GO:0033178",0.0572856218993946,0.996926510027664,2,3,"proton-transporting two-sector ATPase complex, catalytic domain","CC"
"70","GO:0031307",0.0573307893817267,0.981931185865459,6,21,"integral component of mitochondrial outer membrane","CC"
"71","GO:0009539",0.057383420887822,0.996918188354075,2,3,"photosystem II reaction center","CC"
"72","GO:0009547",0.057407731663966,0.996916118398642,2,3,"plastid ribosome","CC"
"73","GO:0015934",0.0615593714441626,0.967767189157505,15,68,"large ribosomal subunit","CC"
"74","GO:0005871",0.0622156799665121,0.966945784085294,15,82,"kinesin complex","CC"
"75","GO:0015630",0.0638255165424238,0.990165304487061,3,7,"microtubule cytoskeleton","CC"
"76","GO:0009514",0.0640998734793947,0.985376375426175,4,12,"glyoxysome","CC"
"77","GO:0016593",0.0647583078859451,0.985174054810747,4,12,"Cdc73/Paf1 complex","CC"
"78","GO:0005778",0.0739129806693636,0.966271419113901,10,43,"peroxisomal membrane","CC"
"79","GO:0061927",0.0755409876150461,0.99339016528543,2,4,"TOC-TIC supercomplex I","CC"
"80","GO:0046861",0.0785661382769717,0.992964393658084,2,4,"glyoxysomal membrane","CC"
"81","GO:0005764",0.0793988318687006,0.967233070810786,8,32,"lysosome","CC"
"82","GO:0045273",0.0815236608813675,0.97977173082698,4,12,"respiratory chain complex II","CC"
"83","GO:0019898",0.0878731234022411,0.962640470090082,8,34,"extrinsic component of membrane","CC"
"84","GO:0000778",0.0900569728293802,0.982952909282952,3,8,"condensed nuclear chromosome kinetochore","CC"
"85","GO:0031090",0.0902304328916836,0.991226004059409,2,4,"organelle membrane","CC"
"86","GO:0005849",0.100765826601715,0.9895266386804,2,4,"mRNA cleavage factor complex","CC"
"87","GO:0009512",0.103790877150275,0.989016443192909,2,4,"cytochrome b6f complex","CC"
"88","GO:0005819",0.109367636424054,0.939725589457966,13,68,"spindle","CC"
"89","GO:0016021",0.112895493530335,0.895683395050729,689,4696,"integral component of membrane","CC"
"90","GO:0070013",0.117417076500445,1,1,1,"intracellular organelle lumen","CC"
