"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:PWY-6787",0.00372633637931945,0.999479719403721,5,22,"flavonoid biosynthesis (in equisetum)","BioCyc"
"2","ARA:PWY-6220",0.0128542556555437,0.999582477256885,2,4,"jasmonoyl-amino acid conjugates biosynthesis I","BioCyc"
"3","ARA:PWY-6233",0.0128542556555437,0.999582477256885,2,4,"jasmonoyl-amino acid conjugates biosynthesis II","BioCyc"
"4","ARA:PWY-6612",0.0144461963911139,0.998573901454666,3,11,"superpathway of tetrahydrofolate biosynthesis","BioCyc"
"5","ARA:PWY-6543",0.0215628069536229,0.998931823203085,2,5,"4-aminobenzoate biosynthesis","BioCyc"
"6","ARA:PWY-5120",0.0357701984422596,0.9946819223206,3,15,"geranylgeranyl diphosphate biosynthesis","BioCyc"
"7","ARA:PWY1F-FLAVSYN",0.0406569300939437,0.991013092663169,4,27,"flavonoid biosynthesis","BioCyc"
"8","ARA:PWY-5203",0.0418888451886845,0.996595600069326,2,7,"soybean saponin I biosynthesis","BioCyc"
"9","ARA:PWY-3742",0.0488446354249222,0.988475268123596,4,29,"tetrahydrofolate biosynthesis II","BioCyc"
"10","ARA:PWY-5122",0.0489559319372612,0.991607153144853,3,17,"geranyl diphosphate biosynthesis","BioCyc"
"11","ARA:PWYQT-4449",0.0492805129260539,0.991528997927817,3,17,"polyisoprenoid biosynthesis","BioCyc"
"12","ARA:PWY-701",0.0496300726839438,1,1,1,"L-methionine degradation II","BioCyc"
"13","ARA:PWYQT-4475",0.0507856411319236,0.9878645801737,4,29,"glucosinolate biosynthesis from hexahomomethionine","BioCyc"
"14","ARA:PWY-6502",0.0510293036841524,1,1,1,"oxidized GTP and dGTP detoxification","BioCyc"
"15","ARA:PWY-5391",0.0698193408646822,0.991962963675696,2,9,"syringetin biosynthesis","BioCyc"
"16","ARA:PWY-7183",0.0772267283775846,0.990395092847547,2,10,"pyrimidine nucleobases salvage I","BioCyc"
"17","ARA:CHLOROPHYLL-SYN",0.0788305695706652,0.983185149893865,3,21,"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)","BioCyc"
"18","ARA:PWY-6823",0.0797873419978827,0.982894930920085,3,21,"molybdenum cofactor biosynthesis","BioCyc"
"19","ARA:PWY-6936",0.0827023356751958,0.989301889738814,2,10,"seleno-amino acid biosynthesis","BioCyc"
"20","ARA:PWYQT-4445",0.0831383517555976,0.981789240247721,3,22,"pyrimidine salvage pathway","BioCyc"
"21","ARA:PWY-82",0.0871067802405809,0.998027917878152,1,2,"UDP-L-arabinose biosynthesis II (from L-arabinose)","BioCyc"
"22","ARA:PWY-181",0.0883030491931716,0.974273558121047,4,35,"photorespiration","BioCyc"
"23","ARA:PWY-5123",0.0904784390376316,0.979461120993616,3,22,"trans, trans-farnesyl diphosphate biosynthesis","BioCyc"
"24","ARA:GLYOXDEG-PWY",0.0911856348843396,0.997834143864613,1,2,"glycolate and glyoxylate degradation II","BioCyc"
"25","ARA:PWY-5876",0.0952626525791609,0.997630915577302,1,2,"magnoflorine biosynthesis","BioCyc"
"26","ARA:PWY-7140",0.0963120052383521,0.997577056689857,1,2,"myricetin gentiobioside biosynthesis","BioCyc"
"27","ARA:PWY-5121",0.0965905193699577,0.970923763861667,4,36,"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)","BioCyc"
"28","ARA:PWY-3101",0.100242066888002,0.985277227983941,2,11,"flavonol biosynthesis","BioCyc"
"29","ARA:PWY-5486",0.112501924557837,0.982097352666951,2,12,"pyruvate fermentation to ethanol II","BioCyc"
"30","ARA:LIPAS-PWY",0.115028153685436,0.948673812878377,7,85,"triacylglycerol degradation","BioCyc"
"31","ARA:PWY-5800",0.127223089275843,0.977999623085177,2,13,"xylan biosynthesis","BioCyc"
"32","ARA:TRIGLSYN-PWY",0.131441288858045,0.94887485761234,5,56,"diacylglycerol and triacylglycerol biosynthesis","BioCyc"
"33","ARA:PWY-7388",0.136273241425565,0.962476689707608,3,27,"octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)","BioCyc"
"34","ARA:PWY1F-353",0.136274251278529,0.99344189962567,1,3,"glycine betaine biosynthesis III (plants)","BioCyc"
"35","ARA:PWYQT-4427",0.137053786565543,0.993364085624202,1,3,"sulfoquinovosyl diacylglycerol biosynthesis","BioCyc"
"36","ARA:PWY-6577",0.138191493382507,0.99324963805814,1,3,"farnesylcysteine salvage pathway","BioCyc"
"37","ARA:PWY-2161",0.139610052798305,0.974257148499375,2,14,"folate polyglutamylation","BioCyc"
"38","ARA:PWY-4381",0.139790680570335,0.9742037763996,2,14,"fatty acid biosynthesis initiation I","BioCyc"
"39","ARA:HEME-BIOSYNTHESIS-II",0.144114327853511,0.972912938579201,2,14,"heme biosynthesis I (aerobic)","BioCyc"
"40","ARA:PWY-5320",0.15086635653522,0.970846335566864,2,14,"kaempferol glycoside biosynthesis (Arabidopsis)","BioCyc"
"41","ARA:PWY-1061",0.162926054769291,0.951171073312741,3,29,"homogalacturonan biosynthesis","BioCyc"
"42","ARA:PWYQT-94",0.166053348778764,0.965731311501522,2,15,"superpathway of polyamine biosynthesis","BioCyc"
"43","ARA:PWY-7061",0.168144451469137,0.988644206673392,1,4,"glutamate-glutamine shuttle","BioCyc"
"44","ARA:PWY-7193",0.172788156502206,0.963233555101499,2,16,"pyrimidine ribonucleosides salvage I","BioCyc"
"45","ARA:PWY4FS-8",0.177490451734907,0.944570328019739,3,30,"phosphatidylglycerol biosynthesis II (non-plastidic)","BioCyc"
"46","ARA:PWY-6730",0.181792566610082,0.986638691880705,1,4,"methylhalides biosynthesis (plants)","BioCyc"
"47","ARA:PWYQT-4466",0.193214538076796,0.924085578765939,4,48,"superpathway of sucrose and starch metabolism I (non-photosynthetic tissue)","BioCyc"
"48","ARA:GLYSYN2-PWY",0.195232509951734,0.954942104071694,2,17,"glycine biosynthesis","BioCyc"
"49","ARA:PWY-5884",0.198216574879672,0.953815587177273,2,17,"wax esters biosynthesis I","BioCyc"
"50","ARA:PWYQT-62",0.200979695394432,0.93326424541196,3,32,"superpathway of proto- and siroheme biosynthesis","BioCyc"
"51","ARA:PWY4FS-5",0.213958301986563,0.947440375287967,2,18,"superpathway of phosphatidylcholine biosynthesis","BioCyc"
"52","ARA:PWYQT-4432",0.220484700084902,0.978721687150084,1,5,"glutathione degradation","BioCyc"
"53","ARA:PWY-43",0.220612467007442,0.978695717780665,1,5,"putrescine biosynthesis II","BioCyc"
"54","ARA:PWYQT-4476",0.221046626498044,0.978607341319607,1,5,"indole glucosinolate activation (herbivore attack)","BioCyc"
"55","ARA:PWY-5194",0.222056913231394,0.978400905426687,1,5,"siroheme biosynthesis","BioCyc"
