"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","cluster2","GO:0042435","indole-containing compound biosynthetic process","19/235","133/20876",7.04190788195567e-16,5.54198150309911e-13,4.2251447291734e-13,"AT1G62560/AT1G52200/AT1G24100/AT2G38860/AT2G43000/AT5G17990/AT2G43100/AT5G23020/AT1G18590/AT4G39940/AT5G54810/AT3G26830/AT2G30860/AT2G22330/AT1G25220/AT4G31500/AT1G74100/AT3G22890/AT3G54640",19
"2","cluster2","GO:0009850","auxin metabolic process","19/235","143/20876",2.79120739003572e-15,8.1923937731833e-13,6.24578940776364e-13,"AT1G62560/AT1G52200/AT5G54140/AT1G24100/AT2G38860/AT5G17990/AT2G43100/AT5G23020/AT1G18590/AT4G39940/AT5G54810/AT3G26830/AT2G30860/AT2G22330/AT1G25220/AT4G31500/AT1G74100/AT3G22890/AT3G54640",19
"3","cluster2","GO:0009851","auxin biosynthetic process","18/235","124/20876",3.12289470388182e-15,8.1923937731833e-13,6.24578940776364e-13,"AT1G62560/AT1G52200/AT1G24100/AT2G38860/AT5G17990/AT2G43100/AT5G23020/AT1G18590/AT4G39940/AT5G54810/AT3G26830/AT2G30860/AT2G22330/AT1G25220/AT4G31500/AT1G74100/AT3G22890/AT3G54640",18
"4","cluster2","GO:0042430","indole-containing compound metabolic process","19/235","147/20876",4.69549412339793e-15,8.37675988296017e-13,6.3863480683305e-13,"AT1G62560/AT1G52200/AT1G24100/AT2G38860/AT2G43000/AT5G17990/AT2G43100/AT5G23020/AT1G18590/AT4G39940/AT5G54810/AT3G26830/AT2G30860/AT2G22330/AT1G25220/AT4G31500/AT1G74100/AT3G22890/AT3G54640",19
"5","cluster2","GO:0009684","indoleacetic acid biosynthetic process","17/235","109/20876",5.45325760246403e-15,8.37675988296017e-13,6.3863480683305e-13,"AT1G62560/AT1G52200/AT1G24100/AT2G38860/AT5G17990/AT2G43100/AT5G23020/AT1G18590/AT4G39940/AT5G54810/AT3G26830/AT2G30860/AT2G22330/AT4G31500/AT1G74100/AT3G22890/AT3G54640",17
"6","cluster2","GO:0009683","indoleacetic acid metabolic process","17/235","110/20876",6.3863480683305e-15,8.37675988296017e-13,6.3863480683305e-13,"AT1G62560/AT1G52200/AT1G24100/AT2G38860/AT5G17990/AT2G43100/AT5G23020/AT1G18590/AT4G39940/AT5G54810/AT3G26830/AT2G30860/AT2G22330/AT4G31500/AT1G74100/AT3G22890/AT3G54640",17
"7","cluster2","GO:0044550","secondary metabolite biosynthetic process","24/235","317/20876",2.03834464256676e-13,2.29168176242863e-11,1.74715255077151e-11,"AT1G51680/AT2G30490/AT4G34950/AT4G34050/AT5G24760/AT4G12030/AT1G62560/AT1G24100/AT2G38860/AT3G03190/AT2G43000/AT2G43100/AT5G23020/AT1G18590/AT5G61420/AT4G39940/AT3G26830/AT1G65860/AT2G31790/AT2G22330/AT4G31500/AT3G58990/AT1G74100/AT3G22890",24
"8","cluster2","GO:0016144","S-glycoside biosynthetic process","18/235","172/20876",1.01965544307605e-12,7.29517121546226e-11,5.56175696223298e-11,"AT4G34950/AT4G12030/AT1G62560/AT1G24100/AT2G38860/AT3G03190/AT2G43100/AT5G23020/AT1G18590/AT5G61420/AT4G39940/AT1G65860/AT2G31790/AT2G22330/AT4G31500/AT3G58990/AT1G74100/AT3G22890",18
"9","cluster2","GO:0019758","glycosinolate biosynthetic process","18/235","172/20876",1.01965544307605e-12,7.29517121546226e-11,5.56175696223298e-11,"AT4G34950/AT4G12030/AT1G62560/AT1G24100/AT2G38860/AT3G03190/AT2G43100/AT5G23020/AT1G18590/AT5G61420/AT4G39940/AT1G65860/AT2G31790/AT2G22330/AT4G31500/AT3G58990/AT1G74100/AT3G22890",18
"10","cluster2","GO:0019761","glucosinolate biosynthetic process","18/235","172/20876",1.01965544307605e-12,7.29517121546226e-11,5.56175696223298e-11,"AT4G34950/AT4G12030/AT1G62560/AT1G24100/AT2G38860/AT3G03190/AT2G43100/AT5G23020/AT1G18590/AT5G61420/AT4G39940/AT1G65860/AT2G31790/AT2G22330/AT4G31500/AT3G58990/AT1G74100/AT3G22890",18
