"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0020037",9.73694764454627e-12,1,24,57,"heme binding","MF"
"2","GO:0019825",4.05995389339291e-08,0.999999995565312,15,35,"oxygen binding","MF"
"3","GO:0016168",9.01561046893086e-07,0.999999912511472,12,23,"chlorophyll binding","MF"
"4","GO:0005506",6.1118233682258e-06,0.999998964751861,14,43,"iron ion binding","MF"
"5","GO:0015250",5.37425717284481e-05,0.999994977273304,8,16,"water channel activity","MF"
"6","GO:0004497",0.000123331426973326,0.999985463149519,8,20,"monooxygenase activity","MF"
"7","GO:0016709",0.000214593670803422,0.999971989030299,8,21,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"8","GO:0004601",0.000944232367846871,0.999864634247069,7,19,"peroxidase activity","MF"
"9","GO:0030234",0.00116168810091321,0.999951322340454,4,6,"enzyme regulator activity","MF"
"10","GO:0016829",0.00179047759351814,0.99975617868554,6,17,"lyase activity","MF"
"11","GO:0016688",0.00454539044259893,0.999808359993993,3,5,"L-ascorbate peroxidase activity","MF"
"12","GO:0046872",0.00485193017095822,0.997307545089733,37,284,"metal ion binding","MF"
"13","GO:0015299",0.00503341536399839,1,2,2,"solute:proton antiporter activity","MF"
"14","GO:0046863",0.00622575281496107,1,2,2,"ribulose-1,5-bisphosphate carboxylase/oxygenase activator activity","MF"
"15","GO:0004650",0.0065959401985557,0.999313716399391,4,10,"polygalacturonase activity","MF"
"16","GO:0005215",0.00840751830386781,0.997731785725522,8,39,"transporter activity","MF"
"17","GO:0016616",0.00888307668739999,0.998952793264744,4,11,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF"
"18","GO:0004033",0.0095692046181026,0.999371458633151,3,6,"aldo-keto reductase (NADP) activity","MF"
"19","GO:0046028",0.011520128157087,1,2,2,"electron transporter, transferring electrons from cytochrome b6/f complex of photosystem II activity","MF"
"20","GO:0015333",0.0119293539471052,0.999063915913346,3,7,"peptide:proton symporter activity","MF"
"21","GO:0035673",0.0119293539471052,0.999063915913346,3,7,"oligopeptide transmembrane transporter activity","MF"
"22","GO:1904680",0.0119293539471052,0.999063915913346,3,7,"peptide transmembrane transporter activity","MF"
"23","GO:0046524",0.0123083624082908,0.99972037815173,2,3,"sucrose-phosphate synthase activity","MF"
"24","GO:0016705",0.0137471210249549,0.997430285472549,5,18,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF"
"25","GO:0005261",0.0157810489458947,0.999590222779064,2,3,"cation channel activity","MF"
"26","GO:0030551",0.0170086334944852,0.999540072047828,2,3,"cyclic nucleotide binding","MF"
"27","GO:0009055",0.0176542847707448,0.995155068998265,7,29,"electron transfer activity","MF"
"28","GO:0005507",0.0228119458293963,0.991997924025701,9,46,"copper ion binding","MF"
"29","GO:0016491",0.0255077097638965,0.989179267558042,12,76,"oxidoreductase activity","MF"
"30","GO:0003993",0.0258230784096423,0.997099677755366,3,8,"acid phosphatase activity","MF"
"31","GO:0050521",0.0259903742403308,1,1,1,"alpha-glucan, water dikinase activity","MF"
"32","GO:0102216",0.0259903742403308,1,1,1,"maltodextrin water dikinase","MF"
"33","GO:0102218",0.0259903742403308,1,1,1,"starch, H2O dikinase activity","MF"
