"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005788",0.015078982804936,1,1,1,"endoplasmic reticulum lumen","CC"
"2","GO:0005576",0.0249005921029383,0.994356669525811,5,109,"extracellular region","CC"
"3","GO:0009705",0.078416592109906,0.997559652750626,1,5,"plant-type vacuole membrane","CC"
"4","GO:0005759",0.0852392332507957,0.996990406280849,1,6,"mitochondrial matrix","CC"
"5","GO:0016020",0.164539940636613,0.951322426598621,3,90,"membrane","CC"
"6","GO:0009506",0.175481446695075,0.961738935516824,2,52,"plasmodesma","CC"
"7","GO:0005618",0.231762095784388,0.973486957202044,1,16,"cell wall","CC"
"8","GO:0005829",0.267043632368303,0.899998885945391,3,116,"cytosol","CC"
"9","GO:0000139",0.272002421289872,0.962286997016627,1,21,"Golgi membrane","CC"
"10","GO:0005794",0.286271205337296,0.91409494257778,2,69,"Golgi apparatus","CC"
"11","GO:0016021",0.291436846748101,0.849551409735392,6,288,"integral component of membrane","CC"
"12","GO:0005773",0.407445570897548,0.90833659912096,1,33,"vacuole","CC"
"13","GO:0009570",0.434457755745388,0.894106434207691,1,36,"chloroplast stroma","CC"
"14","GO:0005886",0.441193336173176,0.760023609117695,4,224,"plasma membrane","CC"
"15","GO:0005739",0.499475754911807,0.710447283389057,4,226,"mitochondrion","CC"
"16","GO:0005737",0.70011538912335,0.504353022175172,4,299,"cytoplasm","CC"
"17","GO:0009507",0.79501110461956,0.383144344987875,4,328,"chloroplast","CC"
"18","GO:0005634",0.9517221777722,0.106746414821459,8,747,"nucleus","CC"
"19","GO:0009535",0.999999999999999,0.703986726035461,0,21,"chloroplast thylakoid membrane","CC"
"20","GO:0000110",1,0.984349354683952,0,1,"nucleotide-excision repair factor 1 complex","CC"
"21","GO:0000123",1,0.922970963227589,0,5,"histone acetyltransferase complex","CC"
"22","GO:0000126",1,0.985261148781846,0,1,"transcription factor TFIIIB complex","CC"
"23","GO:0000148",1,0.994766975482087,0,1,"1,3-beta-D-glucan synthase complex","CC"
"24","GO:0000151",1,0.947848887634071,0,4,"ubiquitin ligase complex","CC"
"25","GO:0000159",1,0.952958266941169,0,3,"protein phosphatase type 2A complex","CC"
"26","GO:0000164",1,0.983670197330148,0,1,"protein phosphatase type 1 complex","CC"
"27","GO:0000176",1,0.966695624857965,0,2,"nuclear exosome (RNase complex)","CC"
"28","GO:0000177",1,0.966695624857965,0,2,"cytoplasmic exosome (RNase complex)","CC"
"29","GO:0000178",1,0.982939153348092,0,1,"exosome (RNase complex)","CC"
"30","GO:0000228",1,0.984124940525382,0,1,"nuclear chromosome","CC"
"31","GO:0000243",1,0.969184456721327,0,2,"commitment complex","CC"
"32","GO:0000307",1,0.971499413990803,0,2,"cyclin-dependent protein kinase holoenzyme complex","CC"
"33","GO:0000311",1,0.980805366760109,0,1,"plastid large ribosomal subunit","CC"
"34","GO:0000323",1,0.986844905047535,0,1,"lytic vacuole","CC"
"35","GO:0000325",1,0.965230236932367,0,2,"plant-type vacuole","CC"
"36","GO:0000326",1,0.9842117878262,0,1,"protein storage vacuole","CC"
"37","GO:0000407",1,0.969142211353577,0,2,"phagophore assembly site","CC"
"38","GO:0000418",1,0.982792053521906,0,1,"RNA polymerase IV complex","CC"
"39","GO:0000419",1,0.95380547826545,0,3,"RNA polymerase V complex","CC"
"40","GO:0000439",1,0.969542747178058,0,2,"transcription factor TFIIH core complex","CC"
"41","GO:0000502",1,0.954610266590086,0,3,"proteasome complex","CC"
"42","GO:0000506",1,0.981644963540035,0,1,"glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex","CC"
"43","GO:0000775",1,0.967347138564646,0,2,"chromosome, centromeric region","CC"
"44","GO:0000778",1,0.953400168919264,0,3,"condensed nuclear chromosome kinetochore","CC"
"45","GO:0000780",1,0.983712626165399,0,1,"condensed nuclear chromosome, centromeric region","CC"
"46","GO:0000781",1,0.984664015697796,0,1,"chromosome, telomeric region","CC"
"47","GO:0000784",1,0.985887641093371,0,1,"nuclear chromosome, telomeric region","CC"
"48","GO:0000785",1,0.927326764934225,0,5,"chromatin","CC"
"49","GO:0000786",1,0.894173447531026,0,6,"nucleosome","CC"
"50","GO:0000790",1,0.939636789615369,0,4,"nuclear chromatin","CC"
"51","GO:0000794",1,0.987859747540145,0,1,"condensed nuclear chromosome","CC"
"52","GO:0000795",1,0.988529896245844,0,1,"synaptonemal complex","CC"
"53","GO:0000811",1,0.983659189599559,0,1,"GINS complex","CC"
"54","GO:0000812",1,0.981757987076901,0,1,"Swr1 complex","CC"
"55","GO:0000813",1,0.966967377705889,0,2,"ESCRT I complex","CC"
"56","GO:0000814",1,0.982574099144144,0,1,"ESCRT II complex","CC"
"57","GO:0000815",1,0.982209310184242,0,1,"ESCRT III complex","CC"
"58","GO:0000932",1,0.957364054671589,0,4,"P-body","CC"
