"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0055114",3.79254437366438e-07,0.999999881748603,35,149,"oxidation-reduction process","BP"
"2","GO:0010039",7.60758211869158e-06,1,5,5,"response to iron ion","BP"
"3","GO:0006879",9.66090056980917e-06,1,5,5,"cellular iron ion homeostasis","BP"
"4","GO:0000302",5.10770283466299e-05,0.999998174187616,6,8,"response to reactive oxygen species","BP"
"5","GO:0006857",8.89627409919176e-05,0.999992309852862,7,15,"oligopeptide transport","BP"
"6","GO:0042744",0.000464389204885136,0.999934136744704,8,19,"hydrogen peroxide catabolic process","BP"
"7","GO:0006826",0.000485981298051571,0.999989360369437,4,5,"iron ion transport","BP"
"8","GO:0006880",0.000919040430557957,0.999963956268289,4,6,"intracellular sequestering of iron ion","BP"
"9","GO:0080027",0.00128476355187546,1,3,3,"response to herbivore","BP"
"10","GO:0042542",0.0030252134031493,0.999687813464066,5,10,"response to hydrogen peroxide","BP"
"11","GO:0055072",0.00380249055672435,0.999896863348848,3,4,"iron ion homeostasis","BP"
"12","GO:0009817",0.00398873103854404,0.999535018464966,5,11,"defense response to fungus, incompatible interaction","BP"
"13","GO:0009416",0.00474872172573274,0.998883099606556,8,30,"response to light stimulus","BP"
"14","GO:0019762",0.00477993086066444,0.999794744946503,3,5,"glucosinolate catabolic process","BP"
"15","GO:0015979",0.00645695321094856,0.99936473620517,4,9,"photosynthesis","BP"
"16","GO:0046355",0.00769209889343685,1,2,2,"mannan catabolic process","BP"
"17","GO:0080028",0.00865634900765021,1,2,2,"nitrile biosynthetic process","BP"
"18","GO:0098869",0.00919682188019089,1,2,2,"cellular oxidant detoxification","BP"
"19","GO:0090506",0.011832011472815,1,2,2,"axillary shoot meristem initiation","BP"
"20","GO:0048366",0.01185951557062,0.998432200810364,4,12,"leaf development","BP"
"21","GO:0006979",0.0139137463887315,0.994980411678874,11,51,"response to oxidative stress","BP"
"22","GO:0006863",0.0141342226280974,0.999085220934048,3,5,"purine nucleobase transport","BP"
"23","GO:0009816",0.0144317795453012,0.998782775547796,3,7,"defense response to bacterium, incompatible interaction","BP"
"24","GO:0006817",0.0147516985551428,0.999630714495327,2,3,"phosphate ion transport","BP"
"25","GO:0051762",0.0158423392651399,0.999587847706155,2,3,"sesquiterpene biosynthetic process","BP"
"26","GO:0007169",0.0197545501188808,0.994286898250219,7,37,"transmembrane receptor protein tyrosine kinase signaling pathway","BP"
"27","GO:0010223",0.0203088395692712,0.999395300413857,2,3,"secondary shoot formation","BP"
"28","GO:0006468",0.0214931101083206,0.988890316976071,20,155,"protein phosphorylation","BP"
"29","GO:0051259",0.0217990598183006,1,2,2,"protein complex oligomerization","BP"
"30","GO:0006751",0.0238380622920666,0.999224992740758,2,3,"glutathione catabolic process","BP"
"31","GO:0031408",0.0263645056653232,0.999093804472243,2,3,"oxylipin biosynthetic process","BP"
"32","GO:0016310",0.0279314043337553,0.989074679673691,10,61,"phosphorylation","BP"
"33","GO:0009651",0.0282528681818854,0.986991634512145,14,86,"response to salt stress","BP"
"34","GO:0010447",0.0300502996523909,0.998889165367238,2,3,"response to acidic pH","BP"
"35","GO:0045492",0.0310712797951269,0.998829780995036,2,3,"xylan biosynthetic process","BP"
"36","GO:0030245",0.0329329944711609,0.998211993808457,2,4,"cellulose catabolic process","BP"
"37","GO:0016114",0.0346502930850747,0.998064957242375,2,4,"terpenoid biosynthetic process","BP"
"38","GO:0009611",0.0360340003528963,0.989678247329973,6,25,"response to wounding","BP"
"39","GO:0046688",0.0371997319175373,0.998449659617677,2,3,"response to copper ion","BP"
"40","GO:0055062",0.0468025901281522,0.996906381580415,2,4,"phosphate ion homeostasis","BP"
"41","GO:0000038",0.0494133750747867,0.996631641347248,2,4,"very long-chain fatty acid metabolic process","BP"
"42","GO:0007338",0.0512405211650873,1,1,1,"single fertilization","BP"
"43","GO:0009060",0.0567756381626616,0.995178890470671,2,5,"aerobic respiration","BP"
"44","GO:0010200",0.0568546017065211,0.987367658506643,4,13,"response to chitin","BP"
"45","GO:0010043",0.057250025584727,0.995754797704565,2,4,"response to zinc ion","BP"
"46","GO:0030835",0.0600807737741731,1,1,1,"negative regulation of actin filament depolymerization","BP"
"47","GO:0051693",0.0600807737741731,1,1,1,"actin filament capping","BP"
"48","GO:0033198",0.0614253361882636,1,1,1,"response to ATP","BP"
"49","GO:0080119",0.0624664720587921,1,1,1,"ER body organization","BP"
"50","GO:0007131",0.0624800842671746,0.993938421207807,2,6,"reciprocal meiotic recombination","BP"
"51","GO:0009695",0.0644691277264843,1,1,1,"jasmonic acid biosynthetic process","BP"
"52","GO:0030397",0.0644691277264843,1,1,1,"membrane disassembly","BP"
"53","GO:0034440",0.0644691277264843,1,1,1,"lipid oxidation","BP"
"54","GO:0031640",0.0659421675458839,0.996172418425707,2,3,"killing of cells of other organism","BP"
"55","GO:1905011",0.0669212152964077,1,1,1,"transmembrane phosphate ion transport from cytosol to vacuole","BP"
"56","GO:0019419",0.0681647227618809,1,1,1,"sulfate reduction","BP"
"57","GO:0015810",0.0683807732123396,1,1,1,"aspartate transmembrane transport","BP"
"58","GO:0015827",0.0683807732123396,1,1,1,"tryptophan transport","BP"
"59","GO:0042128",0.068427133693126,0.987210398426132,3,12,"nitrate assimilation","BP"
"60","GO:0009814",0.0712646858934771,0.993105044127147,2,5,"defense response, incompatible interaction","BP"
"61","GO:0006835",0.0722986511049451,1,1,1,"dicarboxylic acid transport","BP"
"62","GO:0015743",0.0722986511049451,1,1,1,"malate transport","BP"
"63","GO:0043489",0.0723698461111379,1,1,1,"RNA stabilization","BP"
"64","GO:0009624",0.073650345065245,0.980849230324688,4,19,"response to nematode","BP"
"65","GO:0006952",0.0741510109587504,0.960362104917225,14,105,"defense response","BP"
"66","GO:0080157",0.0745742856124638,1,1,1,"regulation of plant-type cell wall organization or biogenesis","BP"
"67","GO:0019253",0.0754146322354106,0.992459637797267,2,5,"reductive pentose-phosphate cycle","BP"
"68","GO:0042545",0.0755949460116107,0.99243108878803,2,5,"cell wall modification","BP"
"69","GO:1990059",0.0760855628800036,1,1,1,"fruit valve development","BP"
"70","GO:0016121",0.0764056001537257,1,1,1,"carotene catabolic process","BP"
"71","GO:0016124",0.0764056001537257,1,1,1,"xanthophyll catabolic process","BP"
"72","GO:1901601",0.0764056001537257,1,1,1,"strigolactone biosynthetic process","BP"
"73","GO:1901684",0.0777985521509344,1,1,1,"arsenate ion transmembrane transport","BP"
"74","GO:0009851",0.0797465047775897,0.99176222532062,2,5,"auxin biosynthetic process","BP"
"75","GO:0009308",0.0801824142127559,1,1,1,"amine metabolic process","BP"
"76","GO:0006094",0.0811939742509647,0.990840785611042,2,6,"gluconeogenesis","BP"
"77","GO:0007623",0.0817074233668925,0.983836031920401,3,11,"circadian rhythm","BP"
"78","GO:0010304",0.0821843350131449,1,1,1,"PSII associated light-harvesting complex II catabolic process","BP"
"79","GO:0015996",0.0821843350131449,1,1,1,"chlorophyll catabolic process","BP"
"80","GO:0006999",0.0825987314896093,0.998226242006915,1,2,"nuclear pore organization","BP"
"81","GO:0009408",0.0827643168833556,0.973794747012002,5,22,"response to heat","BP"
"82","GO:0050829",0.0837231773370668,0.990385115490282,2,6,"defense response to Gram-negative bacterium","BP"
"83","GO:0019430",0.0852069058203118,1,1,1,"removal of superoxide radicals","BP"
"84","GO:0009938",0.0867486335007624,0.990584546285879,2,5,"negative regulation of gibberellic acid mediated signaling pathway","BP"
"85","GO:0034775",0.0883788508434418,1,1,1,"glutathione transmembrane transport","BP"
"86","GO:0018119",0.0890428453513264,1,1,1,"peptidyl-cysteine S-nitrosylation","BP"
"87","GO:0045926",0.0913344821771546,1,1,1,"negative regulation of growth","BP"
"88","GO:0006000",0.0918045179053361,1,1,1,"fructose metabolic process","BP"
"89","GO:0030388",0.0918045179053361,1,1,1,"fructose 1,6-bisphosphate metabolic process","BP"
"90","GO:0019722",0.0962210009611198,0.988894302464998,2,5,"calcium-mediated signaling","BP"
"91","GO:0005975",0.0962662613269172,0.963013303511549,6,38,"carbohydrate metabolic process","BP"
"92","GO:0071456",0.096377164140357,1,1,1,"cellular response to hypoxia","BP"
"93","GO:1902075",0.0976348573126168,1,1,1,"cellular response to salt","BP"
"94","GO:0009908",0.0992526084992726,0.96170963302625,6,36,"flower development","BP"
"95","GO:0009969",0.100416608197046,1,1,1,"xyloglucan biosynthetic process","BP"
"96","GO:0008284",0.100543977711958,0.978720106415441,3,10,"positive regulation of cell proliferation","BP"
"97","GO:0071555",0.101214920550497,0.95708132032149,7,47,"cell wall organization","BP"
"98","GO:0048479",0.101633829152676,1,1,1,"style development","BP"
"99","GO:0048480",0.101633829152676,1,1,1,"stigma development","BP"
"100","GO:0007029",0.101721924262118,1,1,1,"endoplasmic reticulum organization","BP"
"101","GO:0032527",0.101721924262118,1,1,1,"protein exit from endoplasmic reticulum","BP"
"102","GO:0015671",0.105972382258701,1,1,1,"oxygen transport","BP"
"103","GO:0008219",0.105985874284377,0.985308664691697,2,7,"cell death","BP"
"104","GO:0006520",0.106260187774119,0.985952712171127,2,6,"cellular amino acid metabolic process","BP"
"105","GO:0046246",0.106778994634391,1,1,1,"terpene biosynthetic process","BP"
"106","GO:0042335",0.110516965683262,0.985042170777297,2,6,"cuticle development","BP"
"107","GO:0007155",0.112401070472985,0.983864179479972,2,7,"cell adhesion","BP"
"108","GO:0070262",0.112444953393142,0.99665920913241,1,2,"peptidyl-serine dephosphorylation","BP"
"109","GO:0051781",0.113490259692229,1,1,1,"positive regulation of cell division","BP"
"110","GO:0051983",0.113490259692229,1,1,1,"regulation of chromosome segregation","BP"
"111","GO:0009740",0.113674601436842,0.974026193432089,3,11,"gibberellic acid mediated signaling pathway","BP"
"112","GO:0009299",0.116201611955545,1,1,1,"mRNA transcription","BP"
"113","GO:0010199",0.116201611955545,1,1,1,"organ boundary specification between lateral organs and the meristem","BP"
"114","GO:0048834",0.116201611955545,1,1,1,"specification of petal number","BP"
"115","GO:0090698",0.116201611955545,1,1,1,"post-embryonic plant morphogenesis","BP"
"116","GO:0009409",0.11769536939426,0.942317946471943,9,58,"response to cold","BP"
"117","GO:0015840",0.121299126531492,1,1,1,"urea transport","BP"
"118","GO:0002215",0.12229500431054,1,1,1,"defense response to nematode","BP"
"119","GO:0009853",0.125056886169093,0.981760981413538,2,6,"photorespiration","BP"
"120","GO:0048587",0.130945522718777,0.995422886364101,1,2,"regulation of short-day photoperiodism, flowering","BP"
"121","GO:0051336",0.131319608187325,1,1,1,"regulation of hydrolase activity","BP"
"122","GO:0009813",0.131664869513175,0.98018346206119,2,6,"flavonoid biosynthetic process","BP"
"123","GO:0007584",0.13446594630008,0.995163980884833,1,2,"response to nutrient","BP"
"124","GO:0006536",0.136526026385311,0.99500891882648,1,2,"glutamate metabolic process","BP"
"125","GO:0006538",0.136526026385311,0.99500891882648,1,2,"glutamate catabolic process","BP"
"126","GO:0008615",0.142660636361694,1,1,1,"pyridoxine biosynthetic process","BP"
"127","GO:0042819",0.142660636361694,1,1,1,"vitamin B6 biosynthetic process","BP"
"128","GO:0042823",0.142660636361694,1,1,1,"pyridoxal phosphate biosynthetic process","BP"
"129","GO:0009058",0.144344482748554,0.961273544766693,3,15,"biosynthetic process","BP"
"130","GO:0016127",0.144692066319916,1,1,1,"sterol catabolic process","BP"
"131","GO:0034434",0.144692066319916,1,1,1,"sterol esterification","BP"
"132","GO:0055085",0.144894718801396,0.937169425343822,6,43,"transmembrane transport","BP"
"133","GO:0043488",0.144961964994889,0.994346335320121,1,2,"regulation of mRNA stability","BP"
"134","GO:1900364",0.144961964994889,0.994346335320121,1,2,"negative regulation of mRNA polyadenylation","BP"
"135","GO:0007049",0.145887548949516,0.961050938784792,3,14,"cell cycle","BP"
"136","GO:0010264",0.146475992407304,0.994222688442459,1,2,"myo-inositol hexakisphosphate biosynthetic process","BP"
"137","GO:0002238",0.147760782085254,1,1,1,"response to molecule of fungal origin","BP"
"138","GO:0009625",0.147760782085254,1,1,1,"response to insect","BP"
"139","GO:0009970",0.150530688576749,0.993884402377171,1,2,"cellular response to sulfate starvation","BP"
"140","GO:0009972",0.150771937986354,1,1,1,"cytidine deamination","BP"
"141","GO:0071323",0.151031252161406,1,1,1,"cellular response to chitin","BP"
"142","GO:0071395",0.151031252161406,1,1,1,"cellular response to jasmonic acid stimulus","BP"
"143","GO:0046622",0.154243067589405,1,1,1,"positive regulation of organ growth","BP"
"144","GO:0045786",0.159511432891324,1,1,1,"negative regulation of cell cycle","BP"
"145","GO:0045839",0.159511432891324,1,1,1,"negative regulation of mitotic nuclear division","BP"
"146","GO:0009825",0.160672993583812,0.971309246076555,2,7,"multidimensional cell growth","BP"
"147","GO:0045892",0.164473377253343,0.942179261868377,4,21,"negative regulation of transcription, DNA-templated","BP"
"148","GO:0042742",0.16459402827789,0.925956641690006,6,43,"defense response to bacterium","BP"
"149","GO:0006790",0.165974516701249,0.992499374894555,1,2,"sulfur compound metabolic process","BP"
"150","GO:0045490",0.168183649402168,0.967285755310854,2,9,"pectin catabolic process","BP"
"151","GO:0030163",0.168386788429617,0.968003263698267,2,8,"protein catabolic process","BP"
"152","GO:2000030",0.171770098167811,0.991939555646489,1,2,"regulation of response to red or far red light","BP"
"153","GO:0006869",0.173391883170647,0.938124193693656,4,20,"lipid transport","BP"
"154","GO:0009845",0.173980735632337,0.948025851064671,3,18,"seed germination","BP"
"155","GO:0030187",0.175391721812173,0.991578461175822,1,2,"melatonin biosynthetic process","BP"
"156","GO:0045168",0.177420315298101,1,1,1,"cell-cell signaling involved in cell fate commitment","BP"
"157","GO:0051511",0.17849961666726,0.991261626265535,1,2,"negative regulation of unidimensional cell growth","BP"
"158","GO:0010048",0.179658605613572,0.988318322864509,1,3,"vernalization response","BP"
"159","GO:0048441",0.182332759829213,0.990861942272743,1,2,"petal development","BP"
"160","GO:0010026",0.184109775318137,0.99067329409538,1,2,"trichome differentiation","BP"
"161","GO:0006270",0.18446216721737,0.987654803843925,1,3,"DNA replication initiation","BP"
"162","GO:0010150",0.189252001624191,0.961284531915338,2,8,"leaf senescence","BP"
"163","GO:0006121",0.189934756758278,0.990039893722533,1,2,"mitochondrial electron transport, succinate to ubiquinone","BP"
"164","GO:0009808",0.189986782857831,0.990034132277766,1,2,"lignin metabolic process","BP"
"165","GO:0010286",0.190580970679966,0.96083825201294,2,8,"heat acclimation","BP"
"166","GO:0000103",0.19270682262031,0.98973032788535,1,2,"sulfate assimilation","BP"
"167","GO:0070814",0.19270682262031,0.98973032788535,1,2,"hydrogen sulfide biosynthetic process","BP"
"168","GO:0006002",0.195275663450707,0.989438740867866,1,2,"fructose 6-phosphate metabolic process","BP"
"169","GO:0006629",0.20197044782294,0.921366978665057,4,27,"lipid metabolic process","BP"
"170","GO:0009696",0.207914290849091,0.987937327839725,1,2,"salicylic acid metabolic process","BP"
"171","GO:0009554",0.208632722839344,0.987848611991172,1,2,"megasporogenesis","BP"
"172","GO:0042538",0.20939833307978,0.954284519389168,2,8,"hyperosmotic salinity response","BP"
"173","GO:0007166",0.218633658439398,0.982344039111116,1,3,"cell surface receptor signaling pathway","BP"
"174","GO:0006821",0.221171567813643,0.981907325276991,1,3,"chloride transport","BP"
"175","GO:0010014",0.224776208082592,0.981276772117921,1,3,"meristem initiation","BP"
"176","GO:0002237",0.225532739055416,0.985655135730215,1,2,"response to molecule of bacterial origin","BP"
"177","GO:0030497",0.225533373486336,0.981142783084329,1,3,"fatty acid elongation","BP"
"178","GO:0009959",0.225922168522015,0.981073773126799,1,3,"negative gravitropism","BP"
"179","GO:0006004",0.226478158417615,0.945006898171467,2,11,"fucose metabolic process","BP"
"180","GO:0048316",0.22779404659864,0.944478722157441,2,11,"seed development","BP"
