"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath00500",0.000208205863832176,0.999993149306251,4,19,"Starch and sucrose metabolism","KEGG"
"2","path:ath01100",0.0298519157861642,0.994823990965204,6,146,"Metabolic pathways","KEGG"
"3","path:ath02010",0.0308454500253568,0.999785339959173,1,2,"ABC transporters","KEGG"
"4","path:ath00040",0.0398635064180365,0.999639622443427,1,2,"Pentose and glucuronate interconversions","KEGG"
"5","path:ath00563",0.0542851898359275,0.999104584346819,1,3,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","KEGG"
"6","path:ath00790",0.0783683649991882,0.997879488288665,1,4,"Folate biosynthesis","KEGG"
"7","path:ath00250",0.107770970899209,0.995494456803442,1,6,"Alanine, aspartate and glutamate metabolism","KEGG"
"8","path:ath01110",0.116819352756129,0.974857934818374,3,65,"Biosynthesis of secondary metabolites","KEGG"
"9","path:ath00520",0.225052670721567,0.977135171919155,1,13,"Amino sugar and nucleotide sugar metabolism","KEGG"
"10","path:ath01230",0.355605997437947,0.937252512452966,1,22,"Biosynthesis of amino acids","KEGG"
"11","path:ath03013",0.999999999999999,0.666150962393826,0,22,"RNA transport","KEGG"
"12","path:ath00010",1,0.893662101019459,0,6,"Glycolysis / Gluconeogenesis","KEGG"
"13","path:ath00020",1,0.922485489391514,0,4,"Citrate cycle (TCA cycle)","KEGG"
"14","path:ath00030",1,0.983975334583074,0,1,"Pentose phosphate pathway","KEGG"
"15","path:ath00051",1,0.94078621758782,0,3,"Fructose and mannose metabolism","KEGG"
"16","path:ath00052",1,0.966719250275774,0,2,"Galactose metabolism","KEGG"
"17","path:ath00053",1,0.925245656810416,0,4,"Ascorbate and aldarate metabolism","KEGG"
"18","path:ath00061",1,0.946022968277234,0,3,"Fatty acid biosynthesis","KEGG"
"19","path:ath00071",1,0.960999532714648,0,2,"Fatty acid degradation","KEGG"
"20","path:ath00072",1,0.960999532714648,0,2,"Synthesis and degradation of ketone bodies","KEGG"
"21","path:ath00073",1,0.980594400968816,0,1,"Cutin, suberine and wax biosynthesis","KEGG"
"22","path:ath00100",1,0.985946062889173,0,1,"Steroid biosynthesis","KEGG"
"23","path:ath00190",1,0.877340410379043,0,6,"Oxidative phosphorylation","KEGG"
"24","path:ath00195",1,0.979440790418349,0,1,"Photosynthesis","KEGG"
"25","path:ath00220",1,0.960123601793473,0,2,"Arginine biosynthesis","KEGG"
"26","path:ath00230",1,0.827064008877916,0,10,"Purine metabolism","KEGG"
"27","path:ath00240",1,0.803074130245293,0,11,"Pyrimidine metabolism","KEGG"
"28","path:ath00260",1,0.806046517250205,0,11,"Glycine, serine and threonine metabolism","KEGG"
"29","path:ath00261",1,0.9254920644358,0,4,"Monobactam biosynthesis","KEGG"
"30","path:ath00270",1,0.775207258037601,0,13,"Cysteine and methionine metabolism","KEGG"
"31","path:ath00280",1,0.82708320108544,0,10,"Valine, leucine and isoleucine degradation","KEGG"
"32","path:ath00290",1,0.931712412227805,0,4,"Valine, leucine and isoleucine biosynthesis","KEGG"
"33","path:ath00300",1,0.9254920644358,0,4,"Lysine biosynthesis","KEGG"
"34","path:ath00310",1,0.894605088309372,0,6,"Lysine degradation","KEGG"
"35","path:ath00330",1,0.920584866673616,0,4,"Arginine and proline metabolism","KEGG"
"36","path:ath00340",1,0.979945796441946,0,1,"Histidine metabolism","KEGG"
"37","path:ath00360",1,0.95868759740318,0,2,"Phenylalanine metabolism","KEGG"
"38","path:ath00380",1,0.885390575822322,0,6,"Tryptophan metabolism","KEGG"
