"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005720",0.0139379402124833,0.999662613044592,2,3,"nuclear heterochromatin","CC"
"2","GO:0005739",0.0228310928454852,0.986604534588176,30,426,"mitochondrion","CC"
"3","GO:0005634",0.0243750109035706,0.983206526597848,82,1247,"nucleus","CC"
"4","GO:0005666",0.0343958553527283,1,1,1,"RNA polymerase III complex","CC"
"5","GO:0015935",0.0425210312838858,0.999540733969338,1,2,"small ribosomal subunit","CC"
"6","GO:0022627",0.0425210312838858,0.999540733969338,1,2,"cytosolic small ribosomal subunit","CC"
"7","GO:0010008",0.0564532642554028,0.990291906535871,3,12,"endosome membrane","CC"
"8","GO:0005730",0.0620514420734342,0.978617467479067,6,44,"nucleolus","CC"
"9","GO:0005848",0.0688474976933155,1,1,1,"mRNA cleavage stimulating factor complex","CC"
"10","GO:0009330",0.0782754415861845,1,1,1,"DNA topoisomerase complex (ATP-hydrolyzing)","CC"
"11","GO:0005794",0.0821177589729469,0.957438816208975,12,137,"Golgi apparatus","CC"
"12","GO:0031965",0.0899868094502041,0.988704395110339,2,7,"nuclear membrane","CC"
"13","GO:0000779",0.0983367556281143,1,1,1,"condensed chromosome, centromeric region","CC"
"14","GO:0000799",0.0983367556281143,1,1,1,"nuclear condensin complex","CC"
"15","GO:0045177",0.106512163240159,1,1,1,"apical part of cell","CC"
"16","GO:0070382",0.106512163240159,1,1,1,"exocytic vesicle","CC"
"17","GO:0005884",0.114039450530414,0.996567812955613,1,2,"actin filament","CC"
"18","GO:0005811",0.114143947637296,0.99544597225776,1,3,"lipid droplet","CC"
"19","GO:0031209",0.115923711541871,1,1,1,"SCAR complex","CC"
"20","GO:0030173",0.125485394295322,0.995817883474845,1,2,"integral component of Golgi membrane","CC"
"21","GO:0005829",0.127163747254888,0.915935164524617,23,322,"cytosol","CC"
"22","GO:0005885",0.14087169210778,0.994683876910836,1,2,"Arp2/3 protein complex","CC"
"23","GO:0005774",0.141075532537657,0.930077794078069,8,89,"vacuolar membrane","CC"
"24","GO:0010369",0.162053616395041,0.992879791698336,1,2,"chromocenter","CC"
"25","GO:0009504",0.170955745418377,0.992035310193603,1,2,"cell plate","CC"
"26","GO:0005938",0.20328212303998,0.984889399638288,1,3,"cell cortex","CC"
"27","GO:0005694",0.208498857693121,0.952802591753243,2,10,"chromosome","CC"
"28","GO:0000148",0.212680561476823,0.956701472398214,2,6,"1,3-beta-D-glucan synthase complex","CC"
"29","GO:0000785",0.23564006359298,0.943256984374092,2,9,"chromatin","CC"
"30","GO:0000932",0.245122246662786,0.974917988015393,1,4,"P-body","CC"
"31","GO:0042644",0.256484817354944,0.970680743277362,1,5,"chloroplast nucleoid","CC"
"32","GO:0005635",0.257617858196697,0.972117490072638,1,4,"nuclear envelope","CC"
"33","GO:0005834",0.303130377952905,0.956497402737137,1,6,"heterotrimeric G-protein complex","CC"
"34","GO:0016459",0.333163563686917,0.956355773008389,1,3,"myosin complex","CC"
"35","GO:0005576",0.345983916203893,0.732182722208596,25,508,"extracellular region","CC"
"36","GO:0031902",0.350858106335701,0.937659566633824,1,8,"late endosome membrane","CC"
"37","GO:0005769",0.353217794189198,0.944805587047797,1,4,"early endosome","CC"
"38","GO:0005802",0.365859544339513,0.836393297696621,3,29,"trans-Golgi network","CC"
"39","GO:0009524",0.385556355875809,0.926534461785761,1,6,"phragmoplast","CC"
"40","GO:0000775",0.39881348841216,0.918880422653409,1,7,"chromosome, centromeric region","CC"
"41","GO:0005575",0.40050857933636,0.806637780750204,3,71,"cellular_component","CC"
"42","GO:0005623",0.414717789764249,0.907782139249961,1,10,"cell","CC"
"43","GO:0005759",0.415080064156317,0.911347664643105,1,7,"mitochondrial matrix","CC"
"44","GO:0000159",0.431122456196239,0.905781802281532,1,6,"protein phosphatase type 2A complex","CC"
"45","GO:0005856",0.445487865904862,0.892935740119246,1,9,"cytoskeleton","CC"
"46","GO:0005768",0.453957490177748,0.809417647185041,2,24,"endosome","CC"
"47","GO:0090406",0.49936651077121,0.85990171921638,1,10,"pollen tube","CC"
"48","GO:0012505",0.507368124764277,0.850442407892878,1,15,"endomembrane system","CC"
"49","GO:0005743",0.518588178943984,0.842752488865629,1,15,"mitochondrial inner membrane","CC"
"50","GO:0009706",0.530893462666783,0.840237309279283,1,9,"chloroplast inner membrane","CC"
"51","GO:0022626",0.545647164225171,0.823835811052032,1,14,"cytosolic ribosome","CC"
"52","GO:0080008",0.551746660319085,0.825195417332032,1,9,"Cul4-RING E3 ubiquitin ligase complex","CC"
"53","GO:0005777",0.586703727992085,0.694034834117943,2,32,"peroxisome","CC"
"54","GO:0005773",0.592659277779588,0.574561010550562,6,115,"vacuole","CC"
"55","GO:0046658",0.595330498154576,0.778676192009191,1,24,"anchored component of plasma membrane","CC"
"56","GO:0009506",0.613270483302744,0.517328866869298,10,181,"plasmodesma","CC"
"57","GO:0048046",0.643378678220173,0.534730548283493,5,119,"apoplast","CC"
"58","GO:0016607",0.668601490382692,0.714486475123645,1,13,"nuclear speck","CC"
"59","GO:0000325",0.693589947559787,0.686990150641417,1,13,"plant-type vacuole","CC"
"60","GO:0005783",0.708977333091627,0.460031255261145,5,112,"endoplasmic reticulum","CC"
"61","GO:0016020",0.742199265010272,0.344544816639661,18,369,"membrane","CC"
"62","GO:0005618",0.772026508134611,0.399238849760968,4,117,"cell wall","CC"
"63","GO:0009705",0.781426470202533,0.561229592526702,1,29,"plant-type vacuole membrane","CC"
"64","GO:0009507",0.790554812271072,0.265391582221047,40,806,"chloroplast","CC"
"65","GO:0005887",0.804595249507401,0.428380374109538,2,39,"integral component of plasma membrane","CC"
"66","GO:0031225",0.807623213234833,0.517110705464152,1,43,"anchored component of membrane","CC"
"67","GO:0005737",0.810983669231403,0.244638742299228,35,723,"cytoplasm","CC"
"68","GO:0005789",0.849596204630691,0.354286220133456,2,51,"endoplasmic reticulum membrane","CC"
"69","GO:0005886",0.856031603473354,0.194431789125481,30,585,"plasma membrane","CC"
"70","GO:0043231",0.865316530733896,0.412083050238953,1,47,"intracellular membrane-bounded organelle","CC"
"71","GO:0009536",0.875083047356897,0.394911604748264,1,32,"plastid","CC"
"72","GO:0009579",0.894698417029612,0.34851278987667,1,58,"thylakoid","CC"
"73","GO:0009505",0.911485153528851,0.237222943013109,2,82,"plant-type cell wall","CC"
"74","GO:0009941",0.924376617461064,0.182552866994772,3,100,"chloroplast envelope","CC"
"75","GO:0016021",0.936316024826825,0.0906522068134614,35,775,"integral component of membrane","CC"
"76","GO:0009535",0.96742362048651,0.147556964180996,1,83,"chloroplast thylakoid membrane","CC"
"77","GO:0009570",0.983687182681909,0.0608293989118224,2,106,"chloroplast stroma","CC"
"78","GO:0000015",1,0.927555558024245,0,1,"phosphopyruvate hydratase complex","CC"
"79","GO:0000123",1,0.934727174156834,0,2,"histone acetyltransferase complex","CC"
"80","GO:0000124",1,0.970413858072518,0,1,"SAGA complex","CC"
