"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath03013",0.0171120082098888,0.998285518216671,3,11,"RNA transport","KEGG"
"2","path:ath03008",0.0228847189598892,0.998872948695403,2,5,"Ribosome biogenesis in eukaryotes","KEGG"
"3","path:ath00941",0.0319410715462196,0.997766382803535,2,8,"Flavonoid biosynthesis","KEGG"
"4","path:ath00531",0.0464115290429757,1,1,1,"Glycosaminoglycan degradation","KEGG"
"5","path:ath03018",0.0752538537465499,0.9909632465492,2,11,"RNA degradation","KEGG"
"6","path:ath00250",0.0950650938332219,0.986767573718266,2,12,"Alanine, aspartate and glutamate metabolism","KEGG"
"7","path:ath00564",0.10055524851254,0.985536114518168,2,12,"Glycerophospholipid metabolism","KEGG"
"8","path:ath04141",0.107881772165056,0.974200447625223,3,29,"Protein processing in endoplasmic reticulum","KEGG"
"9","path:ath04144",0.11568848635138,0.981737342241545,2,13,"Endocytosis","KEGG"
"10","path:ath03010",0.123581047755706,0.99414238774518,1,4,"Ribosome","KEGG"
"11","path:ath00510",0.142923710851631,0.9929404812685,1,3,"N-Glycan biosynthesis","KEGG"
"12","path:ath00565",0.145265175081932,0.99269851670044,1,3,"Ether lipid metabolism","KEGG"
"13","path:ath00511",0.166978428984807,0.990243492856327,1,3,"Other glycan degradation","KEGG"
"14","path:ath03060",0.183495988472008,0.985868498120471,1,5,"Protein export","KEGG"
"15","path:ath00600",0.2026422149685,0.983631074013493,1,4,"Sphingolipid metabolism","KEGG"
"16","path:ath03040",0.227678037297703,0.943627126884327,2,18,"Spliceosome","KEGG"
"17","path:ath00900",0.232608481035204,0.975209674629159,1,7,"Terpenoid backbone biosynthesis","KEGG"
"18","path:ath00220",0.23567621833557,0.975168944263348,1,6,"Arginine biosynthesis","KEGG"
"19","path:ath00909",0.255927025353567,0.970428038653122,1,6,"Sesquiterpenoid and triterpenoid biosynthesis","KEGG"
"20","path:ath03440",0.286449145171798,0.96375348305999,1,5,"Homologous recombination","KEGG"
"21","path:ath00310",0.351541462492938,0.937983783831441,1,9,"Lysine degradation","KEGG"
"22","path:ath00500",0.375011612835103,0.832792576807682,3,47,"Starch and sucrose metabolism","KEGG"
"23","path:ath00561",0.442715125311875,0.893441573409642,1,13,"Glycerolipid metabolism","KEGG"
"24","path:ath04146",0.505269863684956,0.854437838924262,1,16,"Peroxisome","KEGG"
"25","path:ath00910",0.536366035220307,0.832430226450647,1,17,"Nitrogen metabolism","KEGG"
"26","path:ath00620",0.539014453537122,0.831009552842762,1,16,"Pyruvate metabolism","KEGG"
"27","path:ath04075",0.548474870186855,0.733884675288562,2,46,"Plant hormone signal transduction","KEGG"
"28","path:ath00040",0.609990073807001,0.770647083233684,1,22,"Pentose and glucuronate interconversions","KEGG"
"29","path:ath01200",0.918204736608014,0.299834997998248,1,54,"Carbon metabolism","KEGG"
"30","path:ath01110",0.928376626087823,0.143564031734014,8,269,"Biosynthesis of secondary metabolites","KEGG"
"31","path:ath01230",0.932870406496162,0.260766319995328,1,59,"Biosynthesis of amino acids","KEGG"
"32","path:ath00940",0.9595878358256,0.179838730462848,1,75,"Phenylpropanoid biosynthesis","KEGG"
"33","path:ath01100",0.995845369988268,0.0114175385285631,13,473,"Metabolic pathways","KEGG"
