"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0006281",0.000830041031376627,0.999882933424505,7,20,"DNA repair","BP"
"2","GO:0000122",0.00973827684441893,0.999359293681271,3,6,"negative regulation of transcription by RNA polymerase II","BP"
"3","GO:0016099",0.0115722826127475,0.999746620731045,2,3,"monoterpenoid biosynthetic process","BP"
"4","GO:0009687",0.0184412391903655,0.999273141865938,2,4,"abscisic acid metabolic process","BP"
"5","GO:0000398",0.0197927600895598,0.997918310112213,3,9,"mRNA splicing, via spliceosome","BP"
"6","GO:0019430",0.0232488098266233,0.99869862921176,2,6,"removal of superoxide radicals","BP"
"7","GO:0006729",0.0252238460720454,1,1,1,"tetrahydrobiopterin biosynthetic process","BP"
"8","GO:0110102",0.0252238460720454,1,1,1,"chloroplast ribulose bisphosphate carboxylase complex assembly","BP"
"9","GO:0030150",0.0271589566420199,1,1,1,"protein import into mitochondrial matrix","BP"
"10","GO:0032880",0.0298610193579914,1,1,1,"regulation of protein localization","BP"
"11","GO:0015801",0.03106326422166,1,1,1,"aromatic amino acid transport","BP"
"12","GO:0015804",0.03106326422166,1,1,1,"neutral amino acid transport","BP"
"13","GO:0009853",0.0344797681154595,0.997793214723265,2,5,"photorespiration","BP"
"14","GO:0032508",0.0355232018023498,0.997688708988084,2,5,"DNA duplex unwinding","BP"
"15","GO:0016132",0.0379569535051961,0.997224483911858,2,6,"brassinosteroid biosynthetic process","BP"
"16","GO:0006557",0.0384096487687376,1,1,1,"S-adenosylmethioninamine biosynthetic process","BP"
"17","GO:0008295",0.0384096487687376,1,1,1,"spermidine biosynthetic process","BP"
"18","GO:0030154",0.0396185808270369,0.991311202723277,4,27,"cell differentiation","BP"
"19","GO:0006479",0.041177005170759,1,1,1,"protein methylation","BP"
"20","GO:0071472",0.0416130563288494,0.993499899744935,3,14,"cellular response to salt stress","BP"
"21","GO:0097339",0.0416377984027208,1,1,1,"glycolate transmembrane transport","BP"
"22","GO:0015774",0.0431922522880545,1,1,1,"polysaccharide transport","BP"
"23","GO:0009958",0.0433560506322776,0.996587334219434,2,6,"positive gravitropism","BP"
