"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0003689",0.00286324053414884,1,2,2,"DNA clamp loader activity","MF"
"2","GO:0005223",0.00561471254550354,1,2,2,"intracellular cGMP-activated cation channel activity","MF"
"3","GO:0034768",0.0115722826127475,0.999746620731045,2,3,"(E)-beta-ocimene synthase activity","MF"
"4","GO:0050551",0.0115722826127475,0.999746620731045,2,3,"myrcene synthase activity","MF"
"5","GO:0003676",0.0218812050436614,0.993403376791312,7,52,"nucleic acid binding","MF"
"6","GO:0004784",0.0232488098266233,0.99869862921176,2,6,"superoxide dismutase activity","MF"
"7","GO:0008124",0.0252238460720454,1,1,1,"4-alpha-hydroxytetrahydrobiopterin dehydratase activity","MF"
"8","GO:0005249",0.0326990099194134,0.998238025780654,2,4,"voltage-gated potassium channel activity","MF"
"9","GO:0016532",0.0348132075961634,1,1,1,"superoxide dismutase copper chaperone activity","MF"
"10","GO:0004014",0.0384096487687376,1,1,1,"adenosylmethionine decarboxylase activity","MF"
"11","GO:0008794",0.0384608420731365,0.999625213363442,1,2,"arsenate reductase (glutaredoxin) activity","MF"
"12","GO:0044748",0.0391332603500249,1,1,1,"3'-5'-exoribonuclease activity involved in mature miRNA 3'-end processing","MF"
"13","GO:0008276",0.041177005170759,1,1,1,"protein methyltransferase activity","MF"
"14","GO:0043879",0.0416377984027208,1,1,1,"glycolate transmembrane transporter activity","MF"
"15","GO:0061575",0.0440388041959624,1,1,1,"cyclin-dependent protein serine/threonine kinase activator activity","MF"
"16","GO:0004129",0.0451270288449765,1,1,1,"cytochrome-c oxidase activity","MF"
"17","GO:0016653",0.0451270288449765,1,1,1,"oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor","MF"
"18","GO:0051499",0.0454353714034363,1,1,1,"D-aminoacyl-tRNA deacylase activity","MF"
"19","GO:0004477",0.0465714972477743,1,1,1,"methenyltetrahydrofolate cyclohydrolase activity","MF"
"20","GO:0004488",0.0465714972477743,1,1,1,"methylenetetrahydrofolate dehydrogenase (NADP+) activity","MF"
"21","GO:0004175",0.0492943090528359,1,1,1,"endopeptidase activity","MF"
"22","GO:0004298",0.0492943090528359,1,1,1,"threonine-type endopeptidase activity","MF"
"23","GO:0051537",0.05089392209794,0.99522213063017,2,8,"2 iron, 2 sulfur cluster binding","MF"
"24","GO:0003996",0.0535020435256469,1,1,1,"acyl-CoA ligase activity","MF"
"25","GO:0080014",0.0553124461007045,1,1,1,"thalianol hydroxylase activity","MF"
"26","GO:0008565",0.0564810939508084,0.994843619273452,2,6,"protein transporter activity","MF"
"27","GO:0051993",0.0574598058059914,1,1,1,"abscisic acid glucose ester beta-glucosidase activity","MF"
"28","GO:0043994",0.0642026360538826,0.998941471552014,1,2,"histone acetyltransferase activity (H3-K23 specific)","MF"
"29","GO:0015173",0.0651025011307273,0.998911072828568,1,2,"aromatic amino acid transmembrane transporter activity","MF"
"30","GO:0004807",0.0651304032274752,1,1,1,"triose-phosphate isomerase activity","MF"
"31","GO:0003714",0.0671158738738428,0.994562057207802,2,4,"transcription corepressor activity","MF"
"32","GO:0004527",0.0676930931360388,0.992537603243552,2,8,"exonuclease activity","MF"
"33","GO:0005545",0.0701213414870878,1,1,1,"1-phosphatidylinositol binding","MF"
"34","GO:0032050",0.0701213414870878,1,1,1,"clathrin heavy chain binding","MF"
"35","GO:0004751",0.0702402763976877,0.998728961349142,1,2,"ribose-5-phosphate isomerase activity","MF"
"36","GO:0005254",0.070254388895126,1,1,1,"chloride channel activity","MF"
"37","GO:0044390",0.0706419660319862,0.998714107767591,1,2,"ubiquitin-like protein conjugating enzyme binding","MF"
