sample,rawfq
3989_A,21237341
3989_AA,16763102
3989_AB,20709435
3989_AC,20620917
3989_AD,20462288
3989_AE,20774777
3989_AF,14663645
3989_AG,18471388
3989_AH,14062175
3989_AI,15484319
3989_AJ,20903366
3989_AK,20428239
3989_AL,20955842
3989_AM,20223530
3989_AN,20434758
3989_AO,14344893
3989_AP,21038207
3989_AQ,15460018
3989_AR,14878972
3989_AS,19075017
3989_AT,20169010
3989_AU,19675445
3989_AV,21040145
3989_B,20758910
3989_C,21169175
3989_D,15443604
3989_E,23133429
3989_F,21115726
3989_G,21292266
3989_H,21257731
3989_I,20934258
3989_J,20717137
3989_K,20395157
3989_L,20664853
3989_M,20872096
3989_N,14549335
3989_O,20506806
3989_P,20977504
3989_Q,20404591
3989_R,20391350
3989_S,15835007
3989_T,21278648
3989_U,20598457
3989_V,23003989
3989_W,20408559
3989_X,16321785
3989_Y,16348145
3989_Z,20544223
