sample,rawfq
4206_A,6935452
4206_AA,7032226
4206_AB,7408092
4206_AC,8156477
4206_AD,7341415
4206_AE,8578771
4206_AF,8449488
4206_AG,7238886
4206_AH,7284055
4206_AI,7769390
4206_AJ,7266881
4206_AK,7829291
4206_AL,7260684
4206_AM,8485342
4206_AN,6922530
4206_AO,8041687
4206_AP,7228988
4206_AQ,6421102
4206_AR,7623641
4206_AS,7007885
4206_AT,6952164
4206_AU,7447358
4206_AV,9469900
4206_B,7349776
4206_C,7126368
4206_D,6772982
4206_E,5934233
4206_F,7441682
4206_G,8482112
4206_H,7315283
4206_I,7352204
4206_J,7382597
4206_K,6893126
4206_L,7285673
4206_M,6725679
4206_N,7582281
4206_O,7386843
4206_P,7482498
4206_Q,7205748
4206_R,7030789
4206_S,7182892
4206_T,8091139
4206_U,7849039
4206_V,6726870
4206_W,6845912
4206_X,7338569
4206_Y,7901756
4206_Z,7517436
