SampleID	Library number	Library type	Library Name	Organism	Strain/Variety	Genome size [Mbp]	Requested no. of reads	Sequencing run condition	Analysis support	Comment	Template type	Concentration [ng/µl]	Conc. determined by	Volume [µl]	DNA/RNA dissolved in	Sample preparation protocol
A01	3989.A	RNA library incl. polyA enrichment	Col0-FeEDTA_HK_Day8_Rep1	Arabidopsis thaliana	Col0	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	260.3	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
B01	3989.B	RNA library incl. polyA enrichment	f6h1-FeEDTA_HK_Day8_Rep1	Arabidopsis thaliana	f6h1	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	261.9	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
C01	3989.C	RNA library incl. polyA enrichment	Col0-FeEDTA_Live_Day8_Rep1	Arabidopsis thaliana	Col0	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	195.3	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
D01	3989.D	RNA library incl. polyA enrichment	f6h1-FeEDTA_Live_Day8_Rep1	Arabidopsis thaliana	f6h1	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	153.3	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
E01	3989.E	RNA library incl. polyA enrichment	Col0-FeCl3_HK_Day8_Rep1	Arabidopsis thaliana	Col0	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	134.5	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
F01	3989.F	RNA library incl. polyA enrichment	f6h1-FeCl3_HK_Day8_Rep1	Arabidopsis thaliana	f6h1	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	139	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
G01	3989.G	RNA library incl. polyA enrichment	Col0-FeCl3_Live_Day8_Rep1	Arabidopsis thaliana	Col0	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	208.3	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
H01	3989.H	RNA library incl. polyA enrichment	f6h1-FeCl3_Live_Day8_Rep1	Arabidopsis thaliana	f6h1	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	316.9	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
A02	3989.I	RNA library incl. polyA enrichment	Col0-FeEDTA_HK_Day8_Rep2	Arabidopsis thaliana	Col0	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	258.5	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
B02	3989.J	RNA library incl. polyA enrichment	f6h1-FeEDTA_HK_Day8_Rep2	Arabidopsis thaliana	f6h1	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	253	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
C02	3989.K	RNA library incl. polyA enrichment	Col0-FeEDTA_Live_Day8_Rep2	Arabidopsis thaliana	Col0	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	280.6	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
