"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005886",0.0126321731833021,0.991708665349348,62,396,"plasma membrane","CC"
"2","GO:0016021",0.0212085363767651,0.985069353007296,81,546,"integral component of membrane","CC"
"3","GO:0005622",0.0880960936290016,0.972193755908743,5,19,"intracellular","CC"
"4","GO:0031226",0.109732550379388,1,1,1,"intrinsic component of plasma membrane","CC"
"5","GO:0005681",0.120381355231359,1,1,1,"spliceosomal complex","CC"
"6","GO:0005635",0.127284693492683,1,1,1,"nuclear envelope","CC"
"7","GO:0030173",0.127991632567788,1,1,1,"integral component of Golgi membrane","CC"
"8","GO:0000775",0.128018470279547,1,1,1,"chromosome, centromeric region","CC"
"9","GO:0000792",0.128018470279547,1,1,1,"heterochromatin","CC"
"10","GO:1990904",0.129370971200878,0.982134471142859,2,5,"ribonucleoprotein complex","CC"
"11","GO:0031205",0.136450543715449,1,1,1,"endoplasmic reticulum Sec complex","CC"
"12","GO:0009536",0.144216111345661,0.945144011857045,5,24,"plastid","CC"
"13","GO:0000785",0.20089292080395,0.988786762916509,1,2,"chromatin","CC"
"14","GO:0005765",0.224696150559212,0.985770523474376,1,2,"lysosomal membrane","CC"
"15","GO:0005938",0.225373077464485,0.985678781748502,1,2,"cell cortex","CC"
"16","GO:0036513",0.225439282720385,0.985669791174338,1,2,"Derlin-1 retrotranslocation complex","CC"
"17","GO:0046658",0.226793350178813,0.910472696816587,4,19,"anchored component of plasma membrane","CC"
"18","GO:0005840",0.227739208148716,0.949113260080833,2,7,"ribosome","CC"
"19","GO:0031965",0.233155769170569,0.984599824874924,1,2,"nuclear membrane","CC"
"20","GO:0000786",0.245810593390606,0.982749055178293,1,2,"nucleosome","CC"
"21","GO:0031012",0.247527778217233,0.982488586590195,1,2,"extracellular matrix","CC"
"22","GO:0022625",0.251622929563126,0.981858310363351,1,2,"cytosolic large ribosomal subunit","CC"
"23","GO:0019897",0.255546654739095,0.981242297798717,1,2,"extrinsic component of plasma membrane","CC"
"24","GO:0022626",0.26334230727606,0.933082609242557,2,8,"cytosolic ribosome","CC"
"25","GO:0017119",0.305728947009502,0.963773109218641,1,3,"Golgi transport complex","CC"
"26","GO:0005740",0.320127510465681,0.959946223344215,1,3,"mitochondrial envelope","CC"
"27","GO:0002189",0.321794813240487,0.959488301373413,1,3,"ribose phosphate diphosphokinase complex","CC"
"28","GO:0005741",0.324037533031144,0.958867444738395,1,3,"mitochondrial outer membrane","CC"
"29","GO:0005634",0.326204545572053,0.71983745527869,98,755,"nucleus","CC"
"30","GO:0009986",0.33147214548426,0.956768823006031,1,3,"cell surface","CC"
"31","GO:0005789",0.33656605236953,0.822974517512958,5,32,"endoplasmic reticulum membrane","CC"
"32","GO:0000790",0.336734890686523,0.955245295228983,1,3,"nuclear chromatin","CC"
"33","GO:0005901",0.338654262184256,0.954681739916985,1,3,"caveola","CC"
"34","GO:0005576",0.359149313823077,0.701658334410461,49,367,"extracellular region","CC"
"35","GO:0016607",0.387315850308546,0.93220570108269,1,4,"nuclear speck","CC"
"36","GO:0005834",0.408708810854055,0.923545454770338,1,4,"heterotrimeric G-protein complex","CC"
"37","GO:0030176",0.42209095699915,0.917793917941064,1,4,"integral component of endoplasmic reticulum membrane","CC"
"38","GO:0005777",0.462881677058407,0.766957054025482,3,21,"peroxisome","CC"
"39","GO:0005768",0.526767435485745,0.758808488272649,2,14,"endosome","CC"
"40","GO:0005575",0.543732494032368,0.618079518206693,7,52,"cellular_component","CC"
"41","GO:0005802",0.570742175792753,0.717652431048619,2,16,"trans-Golgi network","CC"
"42","GO:0009570",0.582127455838564,0.553031927302504,10,84,"chloroplast stroma","CC"
"43","GO:0005737",0.608574476881547,0.451401731475941,60,495,"cytoplasm","CC"
"44","GO:0090575",0.633473842209726,0.762684372989906,1,7,"RNA polymerase II transcription factor complex","CC"
"45","GO:0048046",0.666301840264195,0.457250253921644,11,94,"apoplast","CC"
"46","GO:0009505",0.675176889168317,0.467951907179561,8,71,"plant-type cell wall","CC"
"47","GO:0005887",0.692126613356866,0.58599606670195,2,21,"integral component of plasma membrane","CC"
"48","GO:0005615",0.704332479353951,0.493120399128846,4,35,"extracellular space","CC"
"49","GO:0043231",0.730387890972848,0.460277429393434,4,38,"intracellular membrane-bounded organelle","CC"
"50","GO:0005783",0.755211383837485,0.365908833363265,9,86,"endoplasmic reticulum","CC"
"51","GO:0005829",0.759175160421937,0.312344867646256,26,235,"cytosol","CC"
"52","GO:0005618",0.787676374934426,0.319813537650443,10,95,"cell wall","CC"
"53","GO:0005739",0.813341809841503,0.244326474762949,31,280,"mitochondrion","CC"
"54","GO:0009705",0.834223782894443,0.386524915316153,2,25,"plant-type vacuole membrane","CC"
"55","GO:0031225",0.852655356053273,0.314465454796811,3,35,"anchored component of membrane","CC"
"56","GO:0005730",0.880126535871132,0.392751641387604,1,16,"nucleolus","CC"
"57","GO:0009506",0.891914018988735,0.170810840868601,13,140,"plasmodesma","CC"
"58","GO:0000139",0.893642123811099,0.361130340377061,1,18,"Golgi membrane","CC"
"59","GO:0005773",0.916264909454528,0.157086175104179,7,87,"vacuole","CC"
"60","GO:0009507",0.943844042400586,0.0755186398135763,58,553,"chloroplast","CC"
"61","GO:0005774",0.986336526457575,0.0444471666235864,3,64,"vacuolar membrane","CC"
"62","GO:0005794",0.992485381860872,0.0212871920203277,5,93,"Golgi apparatus","CC"
"63","GO:0009941",0.997016356673987,0.0117524606696766,3,76,"chloroplast envelope","CC"
"64","GO:0009579",0.99895163566373,0.00886101290048543,1,49,"thylakoid","CC"
"65","GO:0016020",0.999890837511241,0.000265074107504689,17,281,"membrane","CC"
"66","GO:0000015",1,0.884320913883866,0,1,"phosphopyruvate hydratase complex","CC"
"67","GO:0000124",1,0.868792080247509,0,1,"SAGA complex","CC"
"68","GO:0000145",1,0.873485352910641,0,1,"exocyst","CC"
"69","GO:0000151",1,0.88793851949398,0,1,"ubiquitin ligase complex","CC"
"70","GO:0000159",1,0.680442951175683,0,4,"protein phosphatase type 2A complex","CC"
"71","GO:0000220",1,0.867900224568668,0,1,"vacuolar proton-transporting V-type ATPase, V0 domain","CC"
"72","GO:0000228",1,0.879546613756963,0,1,"nuclear chromosome","CC"
"73","GO:0000275",1,0.867837820845294,0,1,"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)","CC"
"74","GO:0000307",1,0.872214142835581,0,1,"cyclin-dependent protein kinase holoenzyme complex","CC"
"75","GO:0000323",1,0.875529243784105,0,1,"lytic vacuole","CC"
"76","GO:0000325",1,0.319509611443099,0,11,"plant-type vacuole","CC"
"77","GO:0000326",1,0.752805764887969,0,2,"protein storage vacuole","CC"
"78","GO:0000427",1,0.883760109320577,0,1,"plastid-encoded plastid RNA polymerase complex","CC"
"79","GO:0000776",1,0.870640395002728,0,1,"kinetochore","CC"
"80","GO:0000793",1,0.874282776339073,0,1,"condensed chromosome","CC"
"81","GO:0000808",1,0.881024248956192,0,1,"origin recognition complex","CC"
"82","GO:0000811",1,0.766896283404154,0,2,"GINS complex","CC"
"83","GO:0000932",1,0.750048861008259,0,2,"P-body","CC"
"84","GO:0005623",1,0.39357077631236,0,7,"cell","CC"
"85","GO:0005643",1,0.751298217402984,0,2,"nuclear pore","CC"
